Sample Name,Latitude,Longitude
﻿Congla528,30.5217,-84.9048
Congla529,30.5217126,-84.9048
Congla530,30.5217207,-84.9048
Congla531,30.5217387,-84.9048
Congla532,30.5217576,-84.9048
Congla533,30.5217855,-84.9048
Congla534,30.5217,-84.9047838
Congla535,30.5217,-84.9047784
Congla536,30.5217,-84.9047676
Congla537,30.5217,-84.904755
Congla538,30.5217,-84.9047478
Congla539,30.5216874,-84.9048
Congla540,30.521682,-84.9048
Congla541,30.5216577,-84.9048
Congla542,30.5216478,-84.9048
Congla543,30.5215605,-84.9048
Congla544,30.5217,-84.9048135
Congla545,30.5217,-84.9048252
Congla546,30.5217,-84.9048855
Congla547,30.5217,-84.9049098
Congla548,30.5217,-84.9049449
Congla549,30.52321,-84.90864
Congla550,30.5232244,-84.90864
Congla551,30.5232361,-84.90864
Congla552,30.523246,-84.90864
Congla553,30.5232595,-84.90864
Congla554,30.5232712,-84.90864
Congla555,30.52321,-84.9086229
Congla556,30.52321,-84.9086148
Congla557,30.52321,-84.9085842
Congla558,30.52321,-84.9085581
Congla559,30.52321,-84.9085284
Congla560,30.5232028,-84.90864
Congla561,30.5231938,-84.90864
Congla562,30.5231704,-84.90864
Congla563,30.5231641,-84.90864
Congla564,30.5231137,-84.90864
Congla565,30.52321,-84.9086517
Congla566,30.52321,-84.9086607
Congla567,30.52321,-84.9086688
Congla568,30.52321,-84.9086859
Congla569,30.52321,-84.90873
Congla570,30.51942,-84.90022
Congla571,30.5194425,-84.90022
Congla572,30.519447,-84.90022
Congla573,30.519474,-84.90022
Congla574,30.519483,-84.90022
Congla575,30.519501,-84.90022
Congla576,30.51942,-84.9002092
Congla577,30.51942,-84.9001975
Congla578,30.51942,-84.9001795
Congla579,30.51942,-84.900157
Congla580,30.51942,-84.9001372
Congla581,30.51941055,-84.90022
Congla582,30.5193975,-84.90022
Congla583,30.519366,-84.90022
Congla584,30.5193435,-84.90022
Congla585,30.51933,-84.90022
Congla586,30.51942,-84.9002389
Congla587,30.51942,-84.9002452
Congla588,30.51942,-84.9002605
Congla589,30.51942,-84.9002857
Congla590,30.51942,-84.9002965
Congla591,30.5278,-84.90678
Congla592,30.5278072,-84.90678
Congla593,30.5278261,-84.90678
Congla594,30.5278369,-84.90678
Congla595,30.5278873,-84.90678
Congla596,30.5278,-84.9067728
Congla597,30.5278,-84.9067629
Congla598,30.5278,-84.9067467
Congla599,30.5278,-84.9067368
Congla600,30.5278,-84.9066612
Congla601,30.5277937,-84.90678
Congla602,30.52778965,-84.90678
Congla603,30.5277847,-84.90678
Congla604,30.5277766,-84.90678
Congla605,30.5276965,-84.90678
Congla606,30.5278,-84.9068007
Congla607,30.5278,-84.90680565
Congla608,30.5278,-84.9068151
Congla609,30.5278,-84.90682095
Congla610,30.5278,-84.9068304
Congla511,30.52376,-84.92117
Congla512,30.52382619,-84.92123619
Congla513,30.52148,-84.92144
Congla514,30.5215232,-84.92144
Congla515,30.521508,-84.921468
Congla516,30.52151055,-84.92140945
Congla517,30.52151182,-84.92140818
Congla518,30.52150482,-84.92141518
Congla519,30.52151118,-84.92140882
Congla520,30.52148,-84.9213455
Congla521,30.52148,-84.9212168
Congla522,30.5214683,-84.92144
Congla528_rep,30.5217,-84.9048
Congla523,30.52148,-84.9215156
Congla524,30.52148,-84.9215318
Congla525,30.52148,-84.9215444
Congla526,30.52148,-84.921629
Congla527,30.52148,-84.9217145
Congla760,30.52075,-84.9118
Congla761,30.5207563,-84.9118
Congla762,30.520759,-84.9118
Congla763,30.5207671,-84.9118
Congla764,30.52077115,-84.9118
Congla765,30.5208103,-84.9118
Congla766,30.52075,-84.9117829
Congla767,30.52075,-84.9117613
Congla768,30.52075,-84.9117532
Congla769,30.52075,-84.91170505
Congla770,30.52075,-84.9117028
Congla771,30.52075636,-84.91180636
Congla772,30.52076082,-84.91181082
Congla773,30.520764,-84.911814
Congla774,30.52079709,-84.91184709
Congla775,30.52080091,-84.91185091
Congla776,30.52075,-84.9118045
Congla777,30.52075,-84.9118063
Congla778,30.52075,-84.91181035
Congla779,30.52075,-84.9118189
Congla780,30.52075,-84.9118936
Congla781,30.53366,-84.90891
Congla782,30.53366,-84.90891
Congla783,30.53366,-84.90891
Congla784,30.53366,-84.90891
Congla785,30.53366,-84.90891
Congla786,30.53366,-84.90891
Congla787,30.53366,-84.90891
Congla788,30.53366,-84.90891
Congla789,30.53366,-84.90891
Congla790,30.53366,-84.90891
Congla791,30.53366,-84.90891
Congla282,30.4904,-84.90756
Congla288,30.4904056,-84.9075544
Congla289,30.49040855,-84.90756
Congla290,30.490418,-84.90756
Congla291,30.4904441,-84.90756
Congla292,30.4904891,-84.90756
Congla293,30.4904,-84.90755235
Congla294,30.4904,-84.90754425
Congla295,30.4904,-84.9075402
Congla296,30.4904,-84.907515
Congla297,30.4904,-84.9074664
Congla298,30.4903919,-84.90756
Congla299,30.4903874,-84.90756
Congla300,30.4903847,-84.90756
Congla301,30.49035365,-84.90756
Congla302,30.4903028,-84.90756
Congla287,30.4904,-84.90756495
Congla286,30.4904,-84.907569
Congla285,30.4904,-84.9075789
Congla284,30.4904,-84.907596
Congla283,30.4904,-84.9076383
Congla255,30.491,-84.90345
Congla256,30.4910045,-84.90345
Congla257,30.4910108,-84.90345
Congla258,30.49101665,-84.90345
Congla259,30.4910468,-84.90345
Congla260,30.49109,-84.90345
Congla261,30.491,-84.9034437
Congla262,30.491,-84.9034374
Congla263,30.491,-84.9034293
Congla264,30.491,-84.9034095
Congla265,30.491,-84.9033564
Congla266,30.4909946,-84.90345
Congla273,30.4909919,-84.90345
Congla274,30.4909775,-84.90345
Congla275,30.490955,-84.90345
Congla276,30.4909127,-84.90345
Congla277,30.491,-84.90345405
Congla278,30.491,-84.903459
Congla279,30.491,-84.9034707
Congla280,30.491,-84.903495
Congla281,30.491,-84.9035409
Congla715,30.50422,-84.93334
Congla716,30.5042245,-84.93334
Congla717,30.504229,-84.93334
