siteID_1,areaCoverage_1,siteID_10...3,areaCoverage_10...4,siteID_2,areaCoverage_2,siteID_10...7,areaCoverage_10...8,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_10...13,areaCoverage_10...14,siteID_5,areaCoverage_5,siteID_10...17,areaCoverage_10...18,siteID_6,areaCoverage_6,siteID_10...21,areaCoverage_10...22,siteID_7,areaCoverage_7,siteID_10...25,areaCoverage_10...26,siteID_8,areaCoverage_8,siteID_10...29,areaCoverage_10...30,siteID_9,areaCoverage_9,siteID_10...33,areaCoverage_10...34
NFE1,74.9887,NA,NA,LCC2,74.0455,NA,NA,LCC2,74.0455,M2L4,74.3446,NA,NA,WKY2,73.6124,NA,NA,LCC2,74.0455,NA,NA,NFE2,74.9887,NA,NA,LCC3,74.0455,NA,NA,LCC2,74.0455,NFE1,74.9887
HEC22,58.159,NA,NA,SCS1,57.1493,NA,NA,EAF3,58.1373,BEL1,57.0206,NA,NA,IM6,57.5037,NA,NA,EAF3,58.1373,NA,NA,SWC17,57.4035,NA,NA,SCS2,57.1493,NA,NA,SCS1,57.1493,ICS24,58.9301
BEL3,42.8321,NA,NA,ICS24,46.0672,NA,NA,IM10,47.0581,HEC20,40.3708,NA,NA,EAF2,42.1576,NA,NA,IM6,47.0581,NA,NA,BEL3,42.0766,NA,NA,OSW25,45.9415,NA,NA,IM6,46.07,BEL3,43.6032
SGR4,34.8641,NA,NA,AWP27,38.9346,NA,NA,MED3,37.6246,WMO3,32.911,NA,NA,HOC25,35.8112,NA,NA,MED3,37.6246,NA,NA,SGR5,34.1087,NA,NA,MIY2,38.8955,NA,NA,STB18,38.6979,SKZ6,36.4286
AWP27,27.3716,NA,NA,MIF1,31.4506,NA,NA,HOC17,31.2781,HAM6,25.4822,NA,NA,16_VCC_2_N1,30.2314,NA,NA,SKZ6,30.4499,NA,NA,SKZ27,26.9341,NA,NA,MUG1,33.07,NA,NA,SKZ6,31.5233,FRC2,29.8349
16_VCC_4_N2,21.7917,NA,NA,SGR4,24.6016,NA,NA,SGR4,25.8153,16_VCC_4_N1,19.9023,NA,NA,MUG3,25.1116,NA,NA,SGR5,24.9871,NA,NA,16_VCC_4_N1,21.3542,NA,NA,16_VCC_4_N2,27.4902,NA,NA,WMO3,25.1981,16_VCC_4_N2,24.2551
16_ANT_107_N1,16.8386,NA,NA,16_VPT_3_N1,19.2147,NA,NA,16_VPT_4_N1,20.4284,16_KFC_30_N1,14.9909,NA,NA,16_ALP_110_N1,20.2052,NA,NA,16_CTA_27_N1,19.3022,NA,NA,16_ALP_109_N1,16.4478,NA,NA,16_ANT_106_N1,22.5371,NA,NA,16_CTA_27_N1,19.5133,16_ANT_102_N1,19.3019
TSG21,12.7352,NA,NA,16_ANT_107_N1,14.2616,NA,NA,16_KFC_5_N1,15.517,16_FPA_44_N1,11.856,NA,NA,TSG21,16.1018,NA,NA,PCL3,15.1831,NA,NA,16_AMS_38_N1,13.1086,NA,NA,13_VFC_4_N1,17.9313,NA,NA,TSG25,15.4099,OPB3,14.9273
16_AMS_32_N1,9.396,NA,NA,PCL20,10.1423,NA,NA,16_FPA_44_N1,12.3821,TSG21,7.7525,NA,NA,16_AMS_38_N1,12.7626,NA,NA,16_MFM_200_N1,11.3153,NA,NA,TSG21,9.0051,NA,NA,TSG21,13.8278,NA,NA,16_MFM_200_N1,11.5421,16_FPA_44_N1,11.7924
TRR3,6.9579,NA,NA,16_AMS_38_N1,6.8031,NA,NA,NKL2,9.4891,13_VFC_1_N1,6.4886,NA,NA,NKL2,9.8701,NA,NA,16_AMS_10_N1_B,7.9761,NA,NA,HAM6,7.3564,NA,NA,16_AMS_38_N1,10.4886,NA,NA,16_AMS_38_N1,8.2029,ORO51,10.1879
03_V153408_N3,5.5324,NA,NA,16_SDP_24_N1,5.9076,NA,NA,03_V153408_N3,8.1014,16_ICY_903_N1,5.3592,NA,NA,BEL4,6.9986,NA,NA,03_V153408_N3,5.2845,NA,NA,LCC3,5.8976,NA,NA,TBR1,7.6878,NA,NA,16_VAT_3_N1,6.7616,03_V153408_N3,8.7624
16_AKC_41_N1,4.6402,NA,NA,NKL2,3.9192,NA,NA,16_ICY_901_N1,6.9719,NKL2,3.919,NA,NA,TRR3,4.192,NA,NA,MCB2,4.1967,NA,NA,16_SDP_24_N1,5.0021,NA,NA,CAN68,5.8415,NA,NA,16_SDP_24_N1,5.8661,PCL3,4.6431
NA,NA,NA,NA,NA,NA,NA,NA,MCB2,5.8841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00_ATT_N1,4.2514,NA,NA,03_V153408_N2,4.416,NA,NA,MED1,5.1252,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,TSG25,1.7812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NKL15,3.556,NA,NA
