siteID_MAX1,areaCoverage_MAX1,siteID_Random2,areaCoverage_Radom2,siteID_Random3,areaCoverage_Radom3,siteID_Random4,areaCoverage_Radom4,siteID_Random5,areaCoverage_Radom5,siteID_Random6,areaCoverage_Radom6
IHR8,97.4293,CAC1,97.4293,IHR20,97.4293,TRR3,97.4293,NFE1,97.4293,TRR1,100.0005
KLM23,94.8581,NFE1,94.8581,KLM25,94.8581,NFE3,94.8581,IHR8,94.8581,NFE2,97.4293
NFE1,92.2869,MIY3,92.3087,MIY1,92.3087,MIY1,92.3087,KLM25,92.2869,CAC2,94.8581
MIY2,89.7376,TRR2,89.7376,LMC12,89.8311,NOF1,89.7401,CLC2,89.7623,MIF1,92.2869
NOF1,87.1928,NOF1,87.1689,CLC2,87.3065,LMC12,87.2625,LMC12,87.2847,MIY2,89.7816
CLC2,84.6681,CLC2,84.6442,IM10,84.8498,IHR20,84.7152,MIY3,84.7353,CLC2,87.2323
SCS2,82.1445,ICS24,82.1874,TAR3,82.4494,IM6,82.2585,SCS2,82.2116,LMC17,84.7076
LMC22,79.6668,SCS2,79.6637,LCC3,80.0781,KAP1,79.8544,TBR1,79.7884,TBR1,82.23
ICS24,77.21,LMC22,77.1861,SCS1,77.5544,CLC3,77.3297,RGR15,77.4933,SCS1,79.8068
KAP1,74.8059,FRC2,74.8701,NFE2,74.9832,EAF3,75.0012,LCC2,75.1221,LCC1,77.2831
TAR3,72.4055,BSR132,72.5794,FRC3,72.6673,TAR3,72.6008,BSR26,72.8313,NOF1,74.9118
LCC1,70.0342,RGR15,70.2843,SWC24,70.395,SCS1,70.2397,FRC1,70.5153,BSR26,72.4261
FRC3,67.7182,MIF1,67.862,BSR131,68.1042,LCC1,67.8684,EAF3,68.3494,SWC24,70.1354
RGR15,65.4232,SWC24,65.5897,ASK4,65.959,BSR132,65.5777,SWC17,66.0771,TAR3,67.8631
BSR21,63.1324,ASK6,63.4444,LOR17,63.852,FRC1,63.2617,LOR17,63.9702,ASK6,65.4627
SWC24,60.8601,LCC2,61.0731,PCL3,61.7369,ASK5,61.1165,ASK5,61.8249,FRC2,63.3174
EAF3,58.6942,PCL3,58.958,EAF3,59.571,PCL3,59.0014,MED1,59.8839,EAF3,61.0015
ASK6,56.549,16_ICY_904_N1,56.9889,KAP1,57.1669,LOR17,56.8944,16_PTR_8_N1,57.9936,PCL20,58.8356
PCL20,54.4338,MED1,55.0479,16_PTR_8_N1,55.2765,RGR15,54.5994,TAR3,55.5932,16_ICY_904_N1,56.7205
LOR29,52.3269,LOR29,52.9409,16_OSO_3_N1,53.5941,16_ICY_904_N1,52.6303,NOF1,53.0484,16_OSO_3_N1,54.7514
MIF1,50.2234,EAF2,50.7751,M2L4,51.7255,MED1,50.6892,16_FPA_44_N1,51.4018,RGR15,53.069
16_ICY_903_N1,48.2544,16_FPA_26_N1,49.1284,MIF1,49.539,MIF1,48.5858,16_OSO_4_N1,49.7193,MED1,50.7739
MED3,46.3133,16_KCG_37_N1,47.4868,16_FPA_44_N1,47.8924,SWC24,46.3135,16_KCG_10_N1,48.0777,LOR29,48.8329
M2L4,44.4447,HOC17,45.9286,16_ANT_106_N1,46.2801,16_KCG_37_N1,44.6718,HOC17,46.5195,KAP1,46.7259
16_OSO_4_N1,42.7623,16_OSO_2_N1,44.2462,HAM19,44.7446,16_FPA_44_N1,43.0252,CAN68,44.9847,16_FPA_44_N1,44.3218
16_FPA_44_N1,41.1156,TAR3,41.8458,CVG10,43.2146,16_OSO_2_N1,41.3428,PCL20,42.8695,16_KCG_61_N1,42.6752
16_KCG_10_N1,39.474,WTB18,40.3365,MED1,41.2736,HAM6,39.8073,SWB38,41.3921,HOC26,41.0335
HOC26,37.9158,M2L4,38.4679,SWB38,39.7962,SWB36,38.3298,MUG1,39.9357,CAN68,39.4754
CAN68,36.381,SWB19,36.9904,BCB21,38.4474,CAN68,36.795,WMO3,38.5965,CVG10,37.9405
CVG19,34.851,MUG3,35.5341,WMO2,37.1081,WMO3,35.4557,CVG19,37.0665,SWB19,36.4105
SWB36,33.3735,WPV2,34.0757,WKY3,35.7835,WTB16,33.9465,FHS1,35.7878,WPV2,34.9331
WPV2,31.9151,KAP1,31.6716,OPB3,34.5006,FHS1,32.6678,13_VFC_4_N2,34.5098,WMO3,33.4746
MUG1,30.4588,WKY1,30.3469,MUG1,33.0442,13_VFC_1_N1,31.3898,WPV2,33.0514,FHS2,32.1354
WMO2,29.1195,FHS3,29.0683,NOF1,30.5824,WPV2,29.9314,WKY1,31.7267,WKY3,30.8567
WKY1,27.7948,CAN68,27.5335,FHS2,29.3038,SHC2,28.6809,SHC1,30.4763,STB18,29.5321
FHS3,26.5162,WMO3,26.1942,THR21,28.0371,WKY3,27.3563,STB18,29.2137,13_VFC_2_N1,28.2696
13_VFC_1_N1,25.2382,SHC2,24.9437,13_VFC_1_N1,26.7591,KLM25,26.1303,CAC2,27.9838,THR21,26.9915
THR21,23.9715,13_VFC_2_N1,23.6657,CAC2,25.5292,STB18,24.8678,M2L4,26.1152,MUG3,25.7248
STB18,22.7089,KLM25,22.4397,TRR2,24.3032,M2L4,22.9991,16_AKC_14_N1,24.8985,SHC1,24.2685
SHC1,21.4585,STB7,21.1772,SHC2,23.0527,CAC2,21.7692,THR21,23.6319,16_CTA_28_N1,23.018
CAC1,20.2286,16_CTA_27_N1,19.9892,16_CTA_27_N1,21.8647,MUG1,20.3129,MIF1,21.5284,16_AKC_41_N1,21.83
TRR1,19.0026,SKZ6,18.8985,WPV2,20.4063,16_CTA_28_N1,19.1249,TRR1,20.3025,SKZ38,20.6134
16_AKC_41_N1,17.786,ORO24,17.8549,SKZ38,19.3156,16_AKC_14_N1,17.9082,ORO55,19.2589,ORO55,19.5227
16_CTA_28_N1,16.598,16_AKC_41_N1,16.6383,STB7,18.053,THR21,16.6415,KAP1,16.8548,FEV11,18.4791
SKZ6,15.5072,03_V153408_N2,15.6968,ORO31,17.0095,ORO24,15.598,16_CTA_27_N1,15.6668,03_V153408_N3,17.4679
ORO55,14.4637,KIC1,14.7526,16_AKC_14_N1,15.7929,03_V153408_N1,14.6566,03_V153408_N3,14.7254,KIC3,16.5265
KIC1,13.5194,OSW13,13.8863,16_SZA_86_N1,14.5311,KIC2,13.7123,SKZ38,13.6347,M2L4,15.5822
03_V153408_N2,12.578,BEL1,13.0772,03_V153408_N2,13.5897,TSG25,12.8903,OSW25,12.7684,BEL4,13.7136
OSW25,11.7117,RFA3,12.303,TSG24,12.7677,OSW25,12.024,KIC1,11.8241,OSW13,12.9045
TSG21,10.8897,IHR20,11.4158,16_AMS_32_N1,11.9874,16_AMS_10_N1_B,11.2438,FEV11,10.813,IHR20,12.0382
BEL4,10.0806,16_AMS_10_N1_B,10.6356,KIC1,11.0432,BEL4,10.4347,BEL4,10.0039,16_AMS_38_N1,11.1511
16_AMS_10_N1_B,9.3004,AWP27,9.8759,AWP26,10.2835,HOC26,9.6806,TSG24,9.1818,RFA12,10.3709
RFA12,8.5262,TSG24,9.0539,OSW25,9.4172,SKZ38,8.5899,HAM102,8.4505,HAM19,9.5966
