siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_9,areaCoverage_9,siteID_10,areaCoverage_10
16_MFM_200_N1,98.3149,16_MFM_200_N1,98.3149,16_MFM_200_N1,98.3149,16_MFM_107_N1,98.3149,16_MFM_107_N1,98.3149,16_MFM_200_N1,98.3149,16_MFM_107_N1,98.3149,16_MFM_107_N1,98.3149,16_MFM_200_N1,98.3149,16_MFM_200_N1,98.3149
16_ICY_901_N1,96.6299,16_ICY_904_N1,96.6299,16_ICY_901_N1,96.6299,16_ICY_901_N1,96.6299,16_ICY_903_N1,96.6299,16_ICY_903_N1,96.6299,16_ICY_901_N1,96.6299,16_ICY_901_N1,96.6299,16_ICY_904_N1,96.6299,16_ICY_904_N1,96.6299
TBR2,94.9448,TBR1,94.9448,TBR1,94.9448,TBR1,94.9448,TBR2,94.9448,TBR1,94.9448,TBR1,94.9448,TBR1,94.9448,TBR2,94.9448,TBR2,94.9448
SWC17,93.2597,SWC24,93.2597,SWC17,93.2597,SWC18,93.2597,SWC24,93.2597,SWC17,93.2597,SWC18,93.2597,SWC18,93.2597,SWC17,93.2597,SWC18,93.2597
RGR15,91.574700000000007,RGR15,91.574700000000007,RGR15,91.574700000000007,RGR15,91.574700000000007,RGR15,91.574700000000007,RGR15,91.574700000000007,RGR15,91.574700000000007,RGR15,91.574700000000007,RGR15,91.574700000000007,RGR15,91.574700000000007
ASK4,89.8896,ASK5,89.8896,ASK6,89.8896,ASK4,89.8896,ASK4,89.8896,ASK6,89.8896,ASK4,89.8896,ASK5,89.8896,ASK5,89.8896,ASK4,89.8896
KLM23,88.2045,KLM23,88.2045,KLM25,88.2045,KLM25,88.2045,KLM25,88.2045,KLM25,88.2045,KLM25,88.2045,KLM23,88.2045,KLM25,88.2045,KLM23,88.2045
LCC2,86.5195,LCC1,86.5195,LCC3,86.5195,LCC2,86.5195,LCC1,86.5195,LCC1,86.5195,LCC1,86.5195,LCC2,86.5195,LCC1,86.5195,LCC1,86.5195
TRR2,84.8344,TRR2,84.8344,TRR3,84.8344,TRR1,84.8344,TRR2,84.8344,TRR3,84.8344,TRR1,84.8344,TRR1,84.8344,TRR3,84.8344,TRR3,84.8344
BSR21,83.1493,BSR21,83.1493,BSR132,83.1493,BSR21,83.1493,BSR21,83.1493,BSR132,83.1493,BSR131,83.1493,BSR131,83.1493,BSR132,83.1493,BSR131,83.1493
