siteID_1,areaCoverage_1,siteID_10...3,areaCoverage_10...4,siteID_2,areaCoverage_2,siteID_10...7,areaCoverage_10...8,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_10...13,areaCoverage_10...14,siteID_5,areaCoverage_5,siteID_10...17,areaCoverage_10...18,siteID_6,areaCoverage_6,siteID_10...21,areaCoverage_10...22,siteID_7,areaCoverage_7,siteID_10...25,areaCoverage_10...26,siteID_8,areaCoverage_8,siteID_10...29,areaCoverage_10...30,siteID_9,areaCoverage_9,siteID_10...33,areaCoverage_10...34,siteID_10...35,areaCoverage_10...36
KLM25,96.2727,NA,NA,NFE3,96.164,NA,NA,NFE3,96.164,KLM23,96.2727,NA,NA,CAC1,96.1505,NA,NA,NFE3,96.164,NA,NA,TAR3,96.2765,NA,NA,NFE2,96.164,NA,NA,NFE3,96.164,NA,NA,KLM25,96.2727
NFE2,92.4365,NA,NA,KLM25,92.4365,NA,NA,TRR2,92.5764,NFE1,92.4365,NA,NA,TRR1,92.5629,NA,NA,TRR2,92.5764,NA,NA,NFE1,92.4403,NA,NA,TAR3,92.4403,NA,NA,KLM25,92.4365,NA,NA,MIY1,92.82
LCC3,89.1491,NA,NA,NOF1,88.9785,NA,NA,LCC3,89.2889,IHR20,88.6275,NA,NA,LCC1,89.2754,NA,NA,LCC2,89.2889,NA,NA,KLM23,89.1785,NA,NA,CAC1,88.5906,NA,NA,LCC2,89.1491,NA,NA,LCC1,89.5325
CAC2,85.2993,NA,NA,LMC22,85.7606,NA,NA,IHR8,85.4799,LMC17,85.4096,NA,NA,LMC17,86.0575,NA,NA,IHR8,85.4799,NA,NA,CAC1,85.3288,NA,NA,FEV11,85.4079,NA,NA,IHR20,85.34,NA,NA,LMC22,86.3146
LMC12,82.0814,NA,NA,LCC3,82.4731,NA,NA,ICS24,82.3643,LCC1,82.1221,NA,NA,MIY2,82.6048,NA,NA,LMC17,82.262,NA,NA,ICS24,82.2132,NA,NA,SCS2,82.3563,NA,NA,LMC17,82.1221,NA,NA,FEV11,83.132
ICS24,78.9659,NA,NA,KAP1,79.2126,NA,NA,SCS2,79.3128,EAF3,78.9868,NA,NA,ICS24,79.4892,NA,NA,SCS2,79.2104,NA,NA,EAF3,79.0779,NA,NA,TRR2,79.3277,NA,NA,EAF2,78.9868,NA,NA,EAF3,79.9966
EAF2,75.8305,NA,NA,CLC4,76.2547,NA,NA,FRC1,76.363,ICS24,75.8712,NA,NA,SCS1,76.4377,NA,NA,IM10,76.0691,NA,NA,FRC2,76.1281,NA,NA,LMC12,76.1098,NA,NA,FEV11,75.8041,NA,NA,IHR20,76.3497
CLC3,72.8753,NA,NA,IM10,73.1133,NA,NA,CLC4,73.4051,PCL3,73.2477,NA,NA,NFE3,73.3585,NA,NA,CLC3,73.1112,NA,NA,RGR15,73.3032,NA,NA,CLC3,73.1519,NA,NA,FRC2,72.8543,NA,NA,FRC2,73.3999
KAP1,69.6148,NA,NA,EAF2,69.9807,NA,NA,MIY2,70.8715,CLC3,70.2925,NA,NA,CLC2,70.4006,NA,NA,MIY2,70.5776,NA,NA,LMC17,70.0853,NA,NA,FRC3,70.2021,NA,NA,MIY1,70.3208,NA,NA,PCL3,70.7764
MIY1,66.9192,NA,NA,FRC2,67.0309,NA,NA,MED1,68.271,MIY1,67.7589,NA,NA,PCL3,67.777,NA,NA,FRC1,67.6278,NA,NA,NOF1,67.4601,NA,NA,MIY2,67.5064,NA,NA,CLC3,67.3656,NA,NA,CLC2,67.8212
PCL20,64.2956,NA,NA,MED1,64.4304,NA,NA,SWC18,65.7532,MED1,65.1584,NA,NA,M2L4,65.2834,NA,NA,PCL3,65.0043,NA,NA,SWC18,64.9422,NA,NA,SWC17,64.9886,NA,NA,SWC17,64.8477,NA,NA,SWC17,65.3033
M2L4,61.802,NA,NA,CAC1,61.4973,NA,NA,ASK5,63.2955,FRC2,62.2086,NA,NA,SWC24,62.7655,NA,NA,SWC18,62.4864,NA,NA,PCL3,62.3187,NA,NA,M2L4,62.4949,NA,NA,MED3,62.2472,NA,NA,NFE1,62.2241
SWC18,59.2841,NA,NA,PCL3,58.8737,NA,NA,16_ANT_106_N1,60.9442,ASK6,59.751,NA,NA,16_ANT_106_N1,60.4142,NA,NA,16_ANT_106_N1,60.1351,NA,NA,ASK5,59.861,NA,NA,MED1,59.9782,NA,NA,BSR132,59.857,NA,NA,ASK4,59.7665
BSR132,56.8939,NA,NA,ASK6,56.4161,NA,NA,PCL20,58.3206,KAP1,56.4905,NA,NA,MED1,57.8975,NA,NA,RGR15,57.3102,NA,NA,BSR21,57.4708,NA,NA,16_ANT_107_N1,57.6269,NA,NA,KAP1,56.5965,NA,NA,BSR21,57.3762
ASK5,54.4362,NA,NA,BSR21,54.0258,NA,NA,LMC17,55.1027,SWC17,53.9726,NA,NA,MUG1,55.5942,NA,NA,ASK4,54.8525,NA,NA,CLC3,54.5155,NA,NA,ASK5,55.1692,NA,NA,ASK5,54.1388,NA,NA,16_ANT_107_N1,55.0249
16_ANT_102_N1,52.0849,NA,NA,16_ANT_107_N1,51.6745,NA,NA,LOR17,52.9673,BSR132,51.5824,NA,NA,WPV2,53.451,NA,NA,MED1,52.2521,NA,NA,M2L4,52.0219,NA,NA,LOR17,53.0338,NA,NA,16_ANT_107_N1,51.7875,NA,NA,TAR3,52.8255
MED1,49.5682,NA,NA,RGR15,48.8496,NA,NA,HAM19,50.9018,16_ANT_102_N1,49.2311,NA,NA,HAM6,51.3854,NA,NA,HAM19,50.1865,NA,NA,LCC2,49.7929,NA,NA,HAM6,50.9682,NA,NA,PCL20,49.164,NA,NA,LOR17,50.69
MUG3,47.2648,NA,NA,WPV2,46.7064,NA,NA,TAR3,48.7955,M2L4,46.7374,NA,NA,KAP1,49.1971,NA,NA,TAR3,48.0803,NA,NA,MED1,47.2762,NA,NA,KAP1,48.7799,NA,NA,M2L4,46.6703,NA,NA,WPV2,48.5468
HAM19,45.1993,NA,NA,HAM6,44.6409,NA,NA,OPB3,46.8334,LOR29,44.602,NA,NA,GEI12,47.1871,NA,NA,KAP1,45.892,NA,NA,16_ALP_109_N1,45.0486,NA,NA,GEI11,46.7699,NA,NA,GEI11,44.6604,NA,NA,RGR15,45.7219
OPB29,43.2372,NA,NA,M2L4,42.1472,NA,NA,16_OSO_3_N1,44.9534,HAM19,42.5364,NA,NA,BSR21,45.2289,NA,NA,BSR26,43.9337,NA,NA,HAM6,42.9831,NA,NA,LCC3,44.541,NA,NA,LOR17,42.5249,NA,NA,HAM6,43.6563
LOR25,41.1017,NA,NA,LOR29,40.0118,NA,NA,STB7,43.086,GEI12,40.5265,NA,NA,ASK4,42.7712,NA,NA,WPV2,41.7905,NA,NA,LOR25,40.8476,NA,NA,BSR21,42.5827,NA,NA,HAM6,40.4594,NA,NA,STB18,41.7889
16_OSO_2_N1,39.2217,NA,NA,16_OSO_3_N1,38.1318,NA,NA,BSR21,41.1277,TAR3,38.327,NA,NA,LOR17,40.6357,NA,NA,LOR25,39.655,NA,NA,MIY2,38.9521,NA,NA,STB7,40.7153,NA,NA,STB7,38.5919,NA,NA,MED1,39.1884
WPV2,37.0785,NA,NA,STB7,36.2643,NA,NA,KAP1,38.9394,STB18,36.4596,NA,NA,13_VFC_4_N1,38.8702,NA,NA,16_OSO_3_N1,37.775,NA,NA,STB7,37.0847,NA,NA,PCL3,38.0917,NA,NA,16_OSO_2_N1,36.7119,NA,NA,13_VFC_4_N2,37.4229
BCB21,35.3219,NA,NA,MIY2,34.3688,NA,NA,13_VFC_1_N1,37.1738,FHS1,34.6391,NA,NA,STB18,37.0027,NA,NA,CAN68,35.9682,NA,NA,13_VFC_2_N1,35.3191,NA,NA,NOF1,36.2666,NA,NA,13_VFC_1_N1,34.9464,NA,NA,16_OSO_2_N1,35.5429
