siteID_1,areaCoverage_1,siteID_10...3,areaCoverage_10...4,siteID_2,areaCoverage_2,siteID_10...7,areaCoverage_10...8,siteID_3,areaCoverage_3,siteID_10...11,areaCoverage_10...12,siteID_4,areaCoverage_4,siteID_10...15,areaCoverage_10...16,siteID_5,areaCoverage_5,siteID_10...19,areaCoverage_10...20,siteID_6,areaCoverage_6,siteID_10...23,areaCoverage_10...24,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_10...29,areaCoverage_10...30,siteID_9,areaCoverage_9,siteID_10...33,areaCoverage_10...34,siteID_10...35,areaCoverage_10...36
SWC24,98.3104,NA,NA,LCC3,98.3104,NA,NA,LCC3,98.3104,NA,NA,16_ICY_904_N1,98.3104,NA,NA,16_ICY_903_N1,98.3104,NA,NA,LCC3,98.3104,NA,NA,NFE1,98.3104,MED3,98.3104,NA,NA,LCC3,98.3104,NA,NA,SWC24,98.3104
MED3,96.6256,NA,NA,SWC24,96.6256,NA,NA,SWC18,96.6256,NA,NA,MED3,96.6256,NA,NA,NFE2,96.6256,NA,NA,SWC18,96.6256,NA,NA,MED1,96.6256,SWC24,96.6256,NA,NA,SWC24,96.6256,NA,NA,NFE2,96.6256
NFE1,94.9405,NA,NA,NFE1,94.9405,NA,NA,NFE2,94.9405,NA,NA,LCC2,94.9405,NA,NA,SWC17,94.9405,NA,NA,NFE3,94.9405,NA,NA,SWC24,94.9405,16_ICY_903_N1,94.9405,NA,NA,NFE3,94.9405,NA,NA,LCC1,94.9405
16_ALP_110_N1,93.2555,NA,NA,IHR20,93.2555,NA,NA,MED3,93.2555,NA,NA,SWC17,93.2555,NA,NA,IHR20,93.2555,NA,NA,MED3,93.2555,NA,NA,16_ICY_903_N1,93.2555,NFE3,93.2555,NA,NA,MED1,93.2555,NA,NA,IHR20,93.2555
LCC3,91.5704,NA,NA,16_ALP_110_N1,91.5704,NA,NA,16_ICY_901_N1,91.5704,NA,NA,NFE2,91.5704,NA,NA,LCC2,91.5704,NA,NA,16_ICY_904_N1,91.5704,NA,NA,LMC17,91.5704,LMC17,91.5704,NA,NA,16_ICY_904_N1,91.5704,NA,NA,SCS1,91.5704
LMC17,89.8856,NA,NA,16_ICY_903_N1,89.8856,NA,NA,ASK5,89.8856,NA,NA,16_ALP_109_N1,89.8856,NA,NA,16_ALP_109_N1,89.8856,NA,NA,ASK6,89.8856,NA,NA,SCS2,89.8856,IHR20,89.8856,NA,NA,LMC12,89.8856,NA,NA,16_ALP_109_N1,89.8856
16_ICY_904_N1,88.2006,NA,NA,ASK4,88.2006,NA,NA,LMC22,88.2006,NA,NA,LMC17,88.2006,NA,NA,ASK5,88.2006,NA,NA,SCS1,88.2006,NA,NA,ASK6,88.2006,16_ALP_110_N1,88.2006,NA,NA,SCS1,88.2006,NA,NA,MED3,88.2006
IHR20,86.5155,NA,NA,MED3,86.5155,NA,NA,IHR20,86.5155,NA,NA,CAC1,86.5155,NA,NA,SCS1,86.5155,NA,NA,IHR20,86.5155,NA,NA,TBR1,86.5155,LCC2,86.5155,NA,NA,ASK6,86.5155,NA,NA,ASK4,86.5155
SCS1,84.8305,NA,NA,SCS1,84.8305,NA,NA,TRR2,84.8305,NA,NA,IHR20,84.8305,NA,NA,LMC12,84.8305,NA,NA,TRR3,84.8305,NA,NA,LCC2,84.8305,ASK5,84.8305,NA,NA,TRR1,84.8305,NA,NA,CAC1,84.8305
TBR1,83.1456,NA,NA,LMC22,83.1456,NA,NA,CAC2,83.1456,NA,NA,TRR3,83.1456,NA,NA,CAC1,83.1456,NA,NA,LMC12,83.1456,NA,NA,TRR1,83.1456,TBR2,83.1456,NA,NA,16_ALP_109_N1,83.1456,NA,NA,TBR2,83.1456
CAC1,81.4606,NA,NA,TRR2,81.4606,NA,NA,MIY1,81.4606,NA,NA,TBR2,81.4606,NA,NA,MIY2,81.4606,NA,NA,TBR2,81.4606,NA,NA,MIY2,81.4606,TRR2,81.4606,NA,NA,MIY3,81.4606,NA,NA,KAP1,81.4606
MIY3,79.7755,NA,NA,TBR1,79.7755,NA,NA,LOR17,79.7755,NA,NA,SCS2,79.7755,NA,NA,TRR3,79.7755,NA,NA,KAP1,79.7755,NA,NA,KAP1,79.7755,MIY1,79.7755,NA,NA,KAP1,79.7755,NA,NA,16_ICY_904_N1,79.7755
TRR1,78.0907,NA,NA,KAP1,78.0907,NA,NA,BSR132,78.0907,NA,NA,LOR17,78.0907,NA,NA,LOR25,78.0907,NA,NA,LOR17,78.0907,NA,NA,BSR131,78.0907,CAC1,78.0907,NA,NA,LOR29,78.0907,NA,NA,MIY2,78.0907
NOF1,76.4056,NA,NA,BSR132,76.4056,NA,NA,TBR2,76.4056,NA,NA,ASK5,76.4056,NA,NA,KAP1,76.4056,NA,NA,16_ALP_110_N1,76.4056,NA,NA,NOF1,76.4056,LOR25,76.4056,NA,NA,IHR20,76.4056,NA,NA,BSR132,76.4056
BSR131,74.7206,NA,NA,LOR25,74.7206,NA,NA,SCS1,74.7206,NA,NA,MIY3,74.7206,NA,NA,KLM25,74.7206,NA,NA,BSR132,74.7206,NA,NA,16_ALP_109_N1,74.7206,BSR132,74.7206,NA,NA,BSR132,74.7206,NA,NA,LOR17,74.7206
KLM25,73.0355,NA,NA,KLM23,73.0355,NA,NA,NOF1,73.0355,NA,NA,BSR131,73.0355,NA,NA,BSR131,73.0355,NA,NA,CAC2,73.0355,NA,NA,LOR17,73.0355,FRC3,73.0355,NA,NA,KLM23,73.0355,NA,NA,TRR1,73.0355
LOR17,71.3507,NA,NA,CAC2,71.3507,NA,NA,FRC1,71.3507,NA,NA,FRC2,71.3507,NA,NA,CDR4,71.3507,NA,NA,CDR5,71.3507,NA,NA,FRC3,71.3507,CDR2,71.3507,NA,NA,TBR1,71.3507,NA,NA,FRC2,71.3507
FRC2,69.6657,NA,NA,FRC1,69.6657,NA,NA,KLM23,69.6657,NA,NA,NOF1,69.6657,NA,NA,NOF1,69.6657,NA,NA,FRC2,69.6657,NA,NA,CAC2,69.6657,CLC4,69.6657,NA,NA,CAC1,69.6657,NA,NA,KLM25,69.6657
CLC3,67.9806,NA,NA,CLC3,67.9806,NA,NA,CLC3,67.9806,NA,NA,CDR4,67.9806,NA,NA,CLC4,67.9806,NA,NA,MIY2,67.9806,NA,NA,CDR2,67.9806,EAF3,67.9806,NA,NA,CLC2,67.9806,NA,NA,LMC17,67.9806
