id,area,area_removed
TAR3,91.26015196771658,28462165249.46132
IHR20,84.50475305935383,21999804649.899227
RGR15,78.94775057850613,18097107235.721745
LMC12,73.42013545396286,18001414107.537605
KAP1,68.37380991878256,16433964913.217812
FEV11,63.50873655450185,15843644112.953766
FGP1,59.09454240105529,14375384142.053835
NFE2,54.7116029025731,14273615602.5101
FRC3,50.74611203266362,12914124946.896906
HOC17,46.91191473299116,12486472636.020863
LOR25,43.07877222437704,12483111410.413122
ASK4,39.26407580111496,12422994176.535875
SWC18,36.23847743506055,9853223967.171997
16_MFM_107_N1,33.31873800492039,9508476142.75342
ORO20,30.464953789095873,9293707770.790216
16_CTA_27_N1,27.94031533661822,8221768087.554372
TSG25,25.45803072043625,8083853097.548024
13_VFC_4_N2,23.04105058302049,7871186269.049106
16_VAL_13_N1,20.92776866676484,6882203563.3677225
16_FPA_44_N1,18.88233084138257,6660445964.57625
SGR2,16.93469175207056,6342768058.696717
BSR131,15.144993403860704,5828385470.042503
16_DCR_10_N1,13.487091359185852,5399155924.841602
OSW25,11.917695483814837,5110925603.734526
NKL2,10.55316180743781,4443766811.856792
CAN68,9.202784218602307,4397705410.539839
16_ICY_903_N1,7.952457240296278,4071856261.9240055
AWP26,6.7719214075435294,3844546864.315399
16_OSO_3_N1,5.984439298467866,2564546900.95294
16_SDP_24_N1,5.343027689450891,2088841862.2138662
M2L4,4.7124546408876835,2053528309.4967303
MED1,4.105280422879262,1977316186.4503746
03_V153408_N3,3.5059485481225443,1951795797.8724942
EAF3,3.0848816529876686,1371237703.8714643
KLM23,2.6987974668486503,1257331777.4817219
STB7,2.338872345101255,1172153384.6090717
THR21,2.010221858854016,1070289542.523718
KIC1,1.698285456657523,1015858131.61213
TBR2,1.392687967488884,995214844.474844
RFA12,1.1814148921907688,688035990.472541
00_ATT_N2,0.98108798187718,652388497.916506
WMO3,0.7923430922499493,614670265.141423
16_AKC_14_N1,0.6452870149322187,478905671.415014
LCC2,0.509995371696796,440593905.275517
SKZ6,0.4026429158356557,349608271.690723
16_VCC_4_N2,0.33014305305848496,236099523.93952
16_AMS_38_N1,0.2625674636274291,220103476.412171
PCL3,0.19961920709970116,204998511.64048
02_V142998_3_N1,0.13801145018021924,200633015.058312
BEL4,0.094222090276221665,142605278.477325
FHS1,0.06996038854304444,78991908.476803
CAT11,0.051450676780917234,60279086.249825
16_ANT_102_N1,0.03757308233140645,45193415.637476
HAM6,0.02648717335250439,36102585.546982
OZF10,0.017056261895548864,30712889.746868
MIY1,0.008227532877669481,28751809.6302
HEC22,0,26793942.880607
LMC22,NA,NA
16_PTR_5_N2,NA,NA
16_EBR_59_N1,NA,NA
ASK5,NA,NA
LMC17,NA,NA
ORO31,NA,NA
16_VAT_5_N1,NA,NA
WPV2,NA,NA
TSG21,NA,NA
HAM102,NA,NA
WKY2,NA,NA
WTB18,NA,NA
FRC2,NA,NA
WTB16,NA,NA
16_PEW_2_D,NA,NA
16_KCG_10_N1,NA,NA
GEI12,NA,NA
AWP27,NA,NA
SWC17,NA,NA
16_KFC_30_N1,NA,NA
STB18,NA,NA
16_SZA_86_N1,NA,NA
ALI5,NA,NA
TRR2,NA,NA
BOG10,NA,NA
LCC1,NA,NA
16_VPT_4_N1,NA,NA
16_AMS_32_N1,NA,NA
16_MFM_200_N1,NA,NA
16_PTR_8_N1,NA,NA
SVH4,NA,NA
16_ALP_117_N1,NA,NA
16_EBR_63_N1,NA,NA
16_SDP_6_N1,NA,NA
HOC26,NA,NA
16_DCR_9_N1,NA,NA
16_DHS_23_N1,NA,NA
SHC2,NA,NA
TSG24,NA,NA
IHR8,NA,NA
CDR5,NA,NA
16_EBR_61_N1,NA,NA
CDR2,NA,NA
16_LAU_9_N1,NA,NA
16_CTA_26_N1,NA,NA
16_AKC_41_N1,NA,NA
OZF9,NA,NA
16_UNA_3_N1,NA,NA
16_ALP_109_N1,NA,NA
ORO51,NA,NA
IM10,NA,NA
SWB36,NA,NA
16_SDP_32_N1,NA,NA
CRZ1,NA,NA
RFA3,NA,NA
TRR3,NA,NA
16_SZA_88_N1,NA,NA
BOG7,NA,NA
CLC4,NA,NA
16_KFC_19_N1,NA,NA
