id,area,area_removed
KLM23,97.42883844033064,1955428399.8072248
NFE1,94.85767742239338,1955428399.097015
IHR8,92.28651725124125,1955428398.4409733
MIY2,89.73716243627938,1938844268.6198578
NOF1,87.19238961117023,1935358961.912427
CLC3,84.66774915517688,1920049162.3858414
SCS2,82.14407024999893,1919316527.3111835
LMC22,79.66646999143143,1884273241.512117
ICS24,77.20960690248184,1868502054.4851656
KAP1,74.80553200421477,1828355477.1442149
TAR3,72.40515284574738,1825544780.7469292
LCC1,70.03386891148351,1803417178.0212882
FRC2,67.71793597230923,1761321172.3501675
RGR15,65.42287924644948,1745445001.3785248
BSR131,63.1321155989263,1742179607.1028428
SWC24,60.85981371206917,1728139353.207366
EAF3,58.693929621724116,1647205768.840055
ASK4,56.54871899619439,1631483111.131829
PCL20,54.43359508032696,1608600719.6226535
LOR29,52.3266404740578,1602388509.6943734
MIF1,50.22321023090044,1599708148.9006805
16_ICY_904_N1,48.25414418006625,1497500310.1586905
MED1,46.313126620506466,1476189485.0493064
M2L4,44.44448800566636,1421143595.670727
16_OSO_4_N1,42.7620667560556,1279520912.2743785
16_FPA_22_N1,41.11544881388459,1252291655.1349623
16_KCG_61_N1,39.47378042942816,1248581449.407394
HOC26,37.91563724737067,1185004597.670268
CAN68,36.38080222054487,1167277950.9413073
CVG10,34.850808281413926,1163594517.4373384
SWB19,33.373349942483024,1123641597.312167
WPV2,31.91493710554224,1109157248.6750474
MUG3,30.458606342306894,1107573215.3221033
WMO2,29.11934165391626,1018542279.80099
WKY1,27.79470740346941,1007415488.413717
FHS2,26.516073853324546,972430873.521868
13_VFC_1_N1,25.238055121781084,971963290.795786
THR21,23.971379929129455,963336261.614321
STB18,22.708843068776126,960189033.354627
SHC1,21.45837410888089,951011041.311386
CAC1,20.228470245027317,935370802.349102
TRR1,19.00253050189479,932355994.330333
16_AKC_41_N1,17.78589785041464,925277733.826831
16_CTA_28_N1,16.597895233047343,903503918.182604
SKZ38,15.507176577511398,829517178.953943
ORO20,14.463637245935548,793636194.5991
KIC2,13.519377117603689,718132025.761609
03_V153408_N2,12.577946186496055,715980354.97657
OSW25,11.711691679706608,658806916.733306
TSG25,10.889668129109376,625168235.849277
BEL3,10.080557699390885,615347502.6718
16_AMS_32_N1,9.300334909234309,593377773.775889
RFA12,8.526125946325939,588804116.959548
AWP26,7.7664058583475155,577784986.866333
HAM102,7.035046959406629,556215635.937607
16_SZA_86_N1,6.306450560211966,554110532.427856
FEV11,5.666480203765306,486713968.424325
16_ANT_106_N1,5.0790731586936335,446736451.128376
MCB4,4.546336770767981,405158547.336398
16_SDP_32_N1,4.0157369742576385,403533619.398448
