siteID_,areaCoverage_
TAR3,92.6241
IHR8,86.4869
NFE1,81.4347
LMC22,76.4191
ASK5,71.584
KAP1,66.9365
FEV11,62.5426
RGR15,58.5821
FRC2,54.8039
FGP1,51.0408
HOC17,47.4367
LOR29,44.0199
SWC17,40.7298
16_MFM_200_N1,37.8702
PCL3,35.3496
ORO20,32.969
16_CTA_27_N1,30.6991
13_VFC_1_N1,28.5196
BSR132,26.3574
SGR5,24.3305
16_FPA_26_N1,22.3865
16_VAL_14_N1,20.4728
CAN68,18.7868
16_DCR_10_N1,17.3119
AWP27,15.8638
M2L4,14.4767
OSW13,13.0909
MED3,11.7298
16_ICY_904_N1,10.5349
NKL2,9.3948
KLM23,8.2908
EAF3,7.2291
16_OSO_2_N1,6.2438
STB18,5.2662
16_SDP_24_N1,4.6649
