siteID_MAX1,areaCoverage_MAX1,siteID_Random2,areaCoverage_Radom2,siteID_Random3,areaCoverage_Radom3,siteID_Random4,areaCoverage_Radom4,siteID_Random5,areaCoverage_Radom5,siteID_Random6,areaCoverage_Radom6
293e50,98.0911,29300000,98.0911,293000,98.0911,257e13,98.0911,2930,98.0911,253e27,100
277e22,96.1823,277e13,96.1823,277e20,96.1823,277e15,96.1823,277e21,96.1823,277e14,98.0911
910000000000000,94.2743,28500000,94.2766,91e16,94.2743,28500,94.2766,2850,94.2766,91e14,96.1823
750000000000000,92.3718,75e14,92.3741,75e22,92.3718,75e17,92.3741,75e19,92.3741,75e22,94.2743
6e15,90.4768,60000000000000,90.479,6e19,90.4768,6e22,90.479,6e19,90.479,600000000000000,92.3718
63e15,88.5837,63e15,88.586,166e30,88.6174,63e15,88.586,63e15,88.586,264e15,90.4768
166e30,86.7244,2e30,86.7287,2e32,86.7601,15e35,86.6993,166e29,86.7267,20000000000000002e13,88.5836
2e30,84.8671,16599999999999998e14,84.8694,126e16,84.9046,122e28,84.8591,126e14,84.8712,122e30,86.7263
126e16,83.0116,126e15,83.0139,122e27,83.0644,2e30,83.0018,16499999999999998e14,83.0566,630000000000000,84.8861
122e27,81.1714,165e29,81.1993,63e14,81.1714,2870000,81.1956,122e27,81.2164,16499999999999998e14,82.9931
165e30,79.3568,2870000,79.3931,2870,79.3652,165e27,79.381,287000000,79.4102,145e13,81.1785
28699999999999997e46,77.5506,119e29,77.6194,128e30,77.5675,2940000,77.5913,249e27,77.6105,2870000000000,79.3478
119e27,75.7769,122e27,75.7792,227e27,75.7976,119e29,75.8176,138e13,75.8408,2940000000,77.5416
227e28,74.007,238e28,74.0314,185e13,74.0615,238e27,74.0698,238e28,74.093,119e28,75.7519
20100000000000002e13,72.3215,247e17,72.3519,247e13,72.382,256e14,72.3476,247e18,72.4134,23799999999999998e17,73.9782
247e19,70.642,201e30,70.6664,22e17,70.673,2970,70.6711,2970,70.7369,201e28,72.2304
29700000000,68.9654,297000000,68.9898,297000000,68.9965,151e28,69.0077,188e14,69.1475,247e16,70.5449
11699999999999999e15,67.3113,188e13,67.4004,117e28,67.3423,233e13,67.3888,26e29,67.5727,297000,68.8654
233e14,65.6924,233e16,65.7815,188e17,65.7529,186e13,65.7383,24299999999999996e15,65.8584,229e26,67.1888
188e24,64.103,26e29,64.2116,179e16,64.1921,188e14,64.1489,117e27,64.2042,188e18,65.5353
26e28,62.533,11699999999999999e15,62.5574,243e28,62.6321,243e27,62.5702,82e14,62.6794,233e14,63.9459
24299999999999996e15,60.973,9600000000000001e13,61.0584,233e15,61.0132,117e30,60.971,201e28,61.1316,179e13,62.327
82e14,59.4482,237e29,59.5891,82e14,59.4884,26e28,59.3962,268e20,59.6557,11699999999999999e15,60.7662
237e28,57.9789,73e16,58.1233,151e30,57.9974,247e16,57.8843,225e29,58.1947,820000000000000,59.2209
225e27,56.5179,225e28,56.6623,225e32,56.5549,96e28,56.3853,145e14,56.7739,237e29,57.696
145e16,55.0971,243e28,55.1023,145e15,55.1341,237e30,54.916,237e28,55.3046,225e29,56.2268
56e29,53.6839,21899999999999997e15,53.7052,237e29,53.6649,225e27,53.455,101e13,53.9215,2990000,54.7658
219e30,52.2867,145e14,52.2844,56e27,52.2516,101e13,52.0719,38e14,52.568,56e28,53.339
38e16,50.9333,101e15,50.9013,38e15,50.8982,73e14,50.6061,73e14,51.2347,13e30,51.9258
101e14,49.5966,38e16,49.5478,101e14,49.5614,259e14,49.3109,219e30,49.8376,38e14,50.5624
222e22,48.3179,278e15,48.2618,267e23,48.2318,38e16,47.9575,22199999999999997e9,48.5589,101e14,49.209
24e29,47.0578,2.2200000000000002e+22,46.9831,34e14,46.9906,22199999999999997e9,46.6788,24e31,47.2988,2.2200000000000002e+22,47.8723
34e14,45.8166,34e15,45.7419,22199999999999997e9,45.7119,34e14,45.4377,278e16,46.0127,24e31,46.5936
278e16,44.577,259e13,44.5396,24e28,44.4518,278e14,44.1516,34e16,44.7715,34e14,45.3335
259e13,43.3747,24e28,43.2795,278e15,43.2123,121e28,42.9681,259e16,43.5692,279e28,44.0923
