siteID_1,areaCoverage_1,siteID_10...3,areaCoverage_10...4,siteID_2,areaCoverage_2,siteID_10...7,areaCoverage_10...8,siteID_3,areaCoverage_3,siteID_10...11,areaCoverage_10...12,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_10...19,areaCoverage_10...20,siteID_7,areaCoverage_7,siteID_10...23,areaCoverage_10...24,siteID_8,areaCoverage_8,siteID_10...27,areaCoverage_10...28,siteID_9,areaCoverage_9,siteID_10...31,areaCoverage_10...32,siteID_10...33,areaCoverage_10...34
MAD17,98.1789,NA,NA,PLA3,98.1418,NA,NA,PLA3,98.1418,NA,NA,MAD18,98.1782,HEA2,98.1313,PLA3,98.1418,NA,NA,MAD16,98.1791,NA,NA,HEA5,98.1336,NA,NA,PLA3,98.1418,NA,NA,MAD17,98.1789
HEA5,96.3153,NA,NA,MAD18,96.3229,NA,NA,MAD14,96.3298,NA,NA,HEA8,96.3123,MAD19,96.323,MAD14,96.3298,NA,NA,HEA8,96.3132,NA,NA,MAD15,96.3158,NA,NA,MAD18,96.3229,NA,NA,PEN10,96.4123
PEN2,94.5487,NA,NA,PEN10,94.5562,NA,NA,PEN2,94.5632,NA,NA,PLA4,94.4623,PEN7,94.5564,PEN6,94.5632,NA,NA,PEN2,94.5466,NA,NA,DAN2,94.4655,NA,NA,PEN6,94.5562,NA,NA,PLA4,94.5622
PLA3,92.6933,NA,NA,MAD45,92.7951,NA,NA,HEA5,92.6996,NA,NA,PEN9,92.6957,ALH3,92.8002,HEA5,92.6996,NA,NA,DAN2,92.6964,NA,NA,PEN6,92.699,NA,NA,HEA8,92.6904,NA,NA,ALH1,92.8009
MAD46,90.9315,NA,NA,HEA1,90.9293,NA,NA,ALH5,90.9448,NA,NA,ALH1,90.9344,PLA1,91.031,MAD45,90.9365,NA,NA,ALH4,90.9402,NA,NA,ALH4,90.9427,NA,NA,ALH1,90.9291,NA,NA,MAD46,91.0391
ALH5,89.1768,NA,NA,DAN2,89.079,NA,NA,ION4,89.2052,NA,NA,MAD47,89.1902,ION1,89.2947,ION4,89.1968,NA,NA,MAD45,89.1786,NA,NA,MAD44,89.1816,NA,NA,LYN1,89.174,NA,NA,ION5,89.2992
LYN1,87.4217,NA,NA,ION3,87.3411,NA,NA,SON1,87.5237,NA,NA,ION3,87.4522,NAP8,87.6111,ALH1,87.4355,NA,NA,ION3,87.4407,NA,NA,PLA3,87.3263,NA,NA,MAD46,87.4125,NA,NA,HEA8,87.4334
ION4,85.682,NA,NA,ALH2,85.5849,NA,NA,MAD44,85.7607,NA,NA,MARD,85.8161,MAD47,85.8822,LYN1,85.6804,NA,NA,SON2,85.7598,NA,NA,ION5,85.5864,NA,NA,ION2,85.676,NA,NA,RDD3,85.7807
DAN2,83.8318,NA,NA,LYN1,83.8297,NA,NA,NAP6,84.1283,NA,NA,NAP8,84.1325,SON1,84.2007,NAP7,84.0477,NA,NA,PLA2,83.987,NA,NA,SON1,83.9049,NA,NA,NAP7,84.0432,NA,NA,NAP7,84.148
NAP1,82.1644,NA,NA,SON2,82.1489,NA,NA,CR66,82.5048,NA,NA,CR66,82.5089,MARC,82.5641,SON1,82.3662,NA,NA,NAP7,82.3543,NA,NA,NAP2,82.2368,NA,NA,SON2,82.3624,NA,NA,MARG,82.5199
MARC,80.5278,NA,NA,MARD,80.5127,NA,NA,MER2,80.894,NA,NA,RDD3,80.8563,CR64,80.9424,MARC,80.7295,NA,NA,CR67,80.7319,NA,NA,MARG,80.6087,NA,NA,CR65,80.7405,NA,NA,CR63,80.8986
CR63,78.9065,NA,NA,NAP2,78.8447,NA,NA,RDD7,79.2929,NA,NA,LYN1,79.1011,NAP1,79.2902,CR67,79.1072,NA,NA,DUN1,79.1158,NA,NA,CR67,78.9864,NA,NA,DUN1,79.1243,NA,NA,LYN1,79.1435
MER2,77.2957,NA,NA,CR66,77.2211,NA,NA,MARB,77.706,NA,NA,MER3,77.4906,MER5,77.7019,MER6,77.5187,NA,NA,RDD7,77.5147,NA,NA,DUN1,77.3702,NA,NA,HAM24,77.5322,NA,NA,MER6,77.5549
RDD6,75.7195,NA,NA,HAM24,75.629,NA,NA,ONED,76.1288,NA,NA,DAN2,75.6404,RDD7,76.1008,DAN2,75.6684,NA,NA,MARB,75.9279,NA,NA,MER6,75.7816,NA,NA,DAN2,75.682,NA,NA,OAKB,75.984
ONEC,74.1424,NA,NA,MER5,74.0406,NA,NA,LYN1,74.3737,NA,NA,NAP1,73.9882,HAM22,74.5353,ONEC,74.0913,NA,NA,MER3,74.3173,NA,NA,RDD7,74.1806,NA,NA,MER2,74.0711,NA,NA,HAM21,74.4208
ORO4,72.5836,NA,NA,RDD6,72.4645,NA,NA,HAM21,72.8105,NA,NA,DUN1,72.372,OAKB,72.9644,RDD3,72.4386,NA,NA,ONEC,72.7402,NA,NA,HAM21,72.6174,NA,NA,MARB,72.4843,NA,NA,ORO4,72.8621
HAM24,70.9915,NA,NA,NAP8,70.7954,NA,NA,ANG2,71.2662,NA,NA,ONEC,70.7948,ANG2,71.4201,ANG5,70.8928,NA,NA,MOH3,71.1882,NA,NA,MOH2,71.0647,NA,NA,RDD7,70.8833,NA,NA,ANG5,71.3163
MOH2,69.4388,NA,NA,ORO2,69.236,NA,NA,MOH2,69.7134,NA,NA,SON2,69.114,ORO4,69.8613,MOH2,69.3401,NA,NA,HAM24,69.596,NA,NA,ORO2,69.5053,NA,NA,ONEC,69.3061,NA,NA,MOH3,69.7643
ANG7,67.9026,NA,NA,ANG2,67.6917,NA,NA,MOD5,68.1789,NA,NA,ORO4,67.5552,LYN2,68.3301,HAM24,67.748,NA,NA,ANG2,68.0517,NA,NA,ANG5,67.9595,NA,NA,SUN7,67.7706,NA,NA,SON1,68.0828
MOD5,66.3681,NA,NA,OAKB,66.1208,NA,NA,SUN2,66.6552,NA,NA,HAM20,66.0071,SUN2,66.8064,SUN8,66.2135,NA,NA,MOD8,66.516,NA,NA,ONED,66.3823,NA,NA,MOH2,66.2179,NA,NA,MOD8,66.5471
DUN5,64.8291,NA,NA,SUN8,64.5864,NA,NA,DIA1,65.1443,NA,NA,ANG7,64.4711,MOH2,65.2536,ORO2,64.6541,NA,NA,SUN7,64.9805,NA,NA,SUN7,64.8467,NA,NA,ANG5,64.6721,NA,NA,DUN7,65.0273
SUN8,63.2945,NA,NA,DIA8,63.0764,NA,NA,DUN7,63.6245,NA,NA,MOH2,62.9198,DAN2,63.4034,MOD8,63.1184,NA,NA,LYN6,63.433,NA,NA,MOD4,63.3129,NA,NA,MOD4,63.1382,NA,NA,SUN7,63.4917
SON2,61.6138,NA,NA,SMAR6,61.572,NA,NA,ORO2,62.0651,NA,NA,DIA1,61.4088,SMAR3,61.907,DUN7,61.5986,NA,NA,DIA6,61.9238,NA,NA,LYN6,61.7654,NA,NA,DIA5,61.6285,NA,NA,CRE1,62.0199
