siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_9,areaCoverage_9,siteID_10,areaCoverage_10
NAP3,89.7698,NAP3,89.7698,NAP3,89.7698,NAP3,89.7698,NAP3,89.7698,NAP3,89.7698,NAP3,89.7698,NAP3,89.7698,NAP3,89.7698,NAP3,89.7698
SON1,81.549,SON1,81.549,SON1,81.549,SON1,81.549,SON1,81.549,SON1,81.549,SON1,81.549,SON1,81.549,SON1,81.549,SON1,81.549
MAD46,73.4064,MAD46,73.4064,MAD46,73.4064,MAD46,73.4064,MAD46,73.4064,MAD46,73.4064,MAD46,73.4064,MAD46,73.4064,MAD46,73.4064,MAD46,73.4064
FOL8,65.3999,FOL8,65.3999,FOL8,65.3999,FOL8,65.3999,FOL8,65.3999,FOL8,65.3999,FOL8,65.3999,FOL8,65.3999,FOL8,65.3999,FOL8,65.3999
ORO2,58.0568,ORO2,58.0568,ORO2,58.0568,ORO2,58.0568,ORO2,58.0568,ORO2,58.0568,ORO2,58.0568,ORO2,58.0568,ORO2,58.0568,ORO2,58.0568
CLO5,51.0597,CLO5,51.0597,CLO5,51.0597,CLO5,51.0597,CLO5,51.0597,CLO5,51.0597,CLO5,51.0597,CLO5,51.0597,CLO5,51.0597,CLO5,51.0597
RED5,45.0045,RED5,45.0045,RED5,45.0045,RED5,45.0045,RED5,45.0045,RED5,45.0045,RED5,45.0045,RED5,45.0045,RED5,45.0045,RED5,45.0045
HAM24,39.1437,HAM24,39.1437,HAM24,39.1437,HAM24,39.1437,HAM24,39.1437,HAM24,39.1437,HAM24,39.1437,HAM24,39.1437,HAM24,39.1437,HAM24,39.1437
SCL1,33.3297,SCL1,33.3297,SCL1,33.3297,SCL1,33.3297,SCL1,33.3297,SCL1,33.3297,SCL1,33.3297,SCL1,33.3297,SCL1,33.3297,SCL1,33.3297
MARG,28.8837,MARG,28.8837,MARG,28.8837,MARG,28.8837,MARG,28.8837,MARG,28.8837,MARG,28.8837,MARG,28.8837,MARG,28.8837,MARG,28.8837
MF37,25.3508,MF37,25.3508,MF37,25.3508,MF37,25.3508,MF37,25.3508,MF37,25.3508,MF37,25.3508,MF37,25.3508,MF37,25.3508,MF37,25.3508
CRE2,21.896,CRE2,21.896,CRE2,21.896,CRE2,21.896,CRE2,21.896,CRE2,21.896,CRE2,21.896,CRE2,21.896,CRE2,21.896,CRE2,21.896
SPRB,19.0298,SPRB,19.0298,SPRB,19.0298,SPRB,19.0298,SPRB,19.0298,SPRB,19.0298,SPRB,19.0298,SPRB,19.0298,SPRB,19.0298,SPRB,19.0298
GRV7,16.6931,GRV7,16.6931,GRV7,16.6931,GRV7,16.6931,GRV7,16.6931,GRV7,16.6931,GRV7,16.6931,GRV7,16.6931,GRV7,16.6931,GRV7,16.6931
SW664,14.4056,SW664,14.4056,SW664,14.4056,SW664,14.4056,SW664,14.4056,SW664,14.4056,SW664,14.4056,SW664,14.4056,SW664,14.4056,SW664,14.4056
OKG2,12.488,OKG2,12.488,OKG2,12.488,OKG2,12.488,OKG2,12.488,OKG2,12.488,OKG2,12.488,OKG2,12.488,OKG2,12.488,OKG2,12.488
TIN12,10.9843,TIN12,10.9843,TIN12,10.9843,TIN12,10.9843,TIN12,10.9843,TIN12,10.9843,TIN12,10.9843,TIN12,10.9843,TIN12,10.9843,TIN12,10.9843
FHL4,9.694,FHL4,9.694,FHL4,9.694,FHL4,9.694,FHL4,9.694,FHL4,9.694,FHL4,9.694,FHL4,9.694,FHL4,9.694,FHL4,9.694
OJAI6,8.42,OJAI6,8.42,OJAI6,8.42,OJAI6,8.42,OJAI6,8.42,OJAI6,8.42,OJAI6,8.42,OJAI6,8.42,OJAI6,8.42,OJAI6,8.42
BS5,7.1827,BS5,7.1827,BS5,7.1827,BS5,7.1827,BS5,7.1827,BS5,7.1827,BS5,7.1827,BS5,7.1827,BS5,7.1827,BS5,7.1827
PEN10,6.154,PEN10,6.154,PEN10,6.154,PEN10,6.154,PEN10,6.154,PEN10,6.154,PEN10,6.154,PEN10,6.154,PEN10,6.154,PEN10,6.154
CTW2,5.228,CTW2,5.228,CTW2,5.228,CTW8,5.228,CTW6,5.228,CTW2,5.228,CTW6,5.228,CTW8,5.228,CTW7,5.228,CTW7,5.228
SUN6,4.4783,SUN1,4.4783,SUN5,4.4783,SUN8,4.4783,SUN3,4.4783,SUN5,4.4783,SUN8,4.4783,SUN5,4.4783,SUN3,4.4783,SUN5,4.4783
