siteID_MAX1,areaCoverage_MAX1,siteID_Random2,areaCoverage_Radom2,siteID_Random3,areaCoverage_Radom3,siteID_Random4,areaCoverage_Radom4,siteID_Random5,areaCoverage_Radom5,siteID_Random6,areaCoverage_Radom6
MAD22,98.6507,CR91,98.6507,ANG2,98.6507,CR93,98.6507,ALH6,98.6507,CR95,99.996
CR93,97.3055,ALH6,97.3055,CR96,97.3055,ALH8,97.3055,CR98,97.3055,ALH7,98.6507
HEA5,95.9601,LYN2,95.9601,DAN2,95.9601,HEA5,95.9601,HEA2,95.9601,ANG5,97.3055
ALH7,94.6147,ANG5,94.6147,LYN4,94.6147,LYN2,94.6147,LYN6,94.6147,MAD10,95.9601
LYN4,93.2693,DAN2,93.2693,HEA8,93.2693,MAD16,93.2693,MAD13,93.2693,HEA1,94.6147
MAD44,91.9241,HEA5,91.9241,MAD14,91.9241,DAN2,91.9241,DAN2,91.9241,LYN2,93.2693
ORO4,90.5788,MAD15,90.5788,MAD45,90.5788,MAD46,90.5788,MAD30,90.5788,MAD44,91.9241
DAN2,89.2334,MAD32,89.2334,MOH3,89.2334,MOH2,89.2334,MOH2,89.2334,ORO4,90.5788
PLA4,87.888,MAD46,87.888,MAD32,87.888,ANG5,87.888,PLA4,87.888,DAN2,89.2334
RRD4,86.5428,PLA4,86.5428,ALH7,86.5428,PLA4,86.5428,MAD46,86.5428,PLA2,87.888
MAD8,85.1975,RDD7,85.1975,PLA4,85.1975,MAD30,85.1975,SMAR3,85.1976,MAD30,86.5428
MAD32,83.8521,SON2,83.8529,SMAR3,83.8523,RDD5,83.8521,RDD3,83.8523,SON2,85.1975
MOH3,82.5069,MOH2,82.5077,RDD6,82.5071,SMAR3,82.5071,MDT6,82.5488,RRD4,83.8529
ANG5,81.1615,SMAR4,81.1668,HAM14,81.2098,SPRC,81.1775,SON2,81.2043,MOH3,82.5077
SMAR3,79.8163,HAMm12,79.8753,PAR894,79.9269,ORO4,79.8323,HAMm12,79.9128,HAM14,81.1624
SON2,78.472,MDT6,78.5717,KIN3,78.6323,HAM13,78.5349,ANG7,78.5733,SMAR1,79.8652
