id,area,area_removed
DIA8,29.118519278237727,40773451032.52052
FT3,1.5301752363845829,15870146844.357851
MOD8,0.38994326547269165,655598457.330026
OKG2,0.03128789608806539,206241094.363331
MC14,0,17997879.072496
HAM13,NA,NA
JAS2,NA,NA
MAD21,NA,NA
LAY9,NA,NA
MF37,NA,NA
NAP2,NA,NA
MAD32,NA,NA
DIA1,NA,NA
NAP3,NA,NA
TAC3,NA,NA
MAD15,NA,NA
MTR5,NA,NA
FHL5,NA,NA
FHL3,NA,NA
ALH8,NA,NA
MOH5,NA,NA
MDT6,NA,NA
CRE3,NA,NA
CR68,NA,NA
BEL6,NA,NA
MF33,NA,NA
PT5,NA,NA
FOL1,NA,NA
SON6,NA,NA
CR172,NA,NA
CR66,NA,NA
CAS5,NA,NA
SUN6,NA,NA
PEN7,NA,NA
MAD29,NA,NA
TIN12,NA,NA
RED1,NA,NA
FOL7,NA,NA
CD168,NA,NA
HEA2,NA,NA
HAM3,NA,NA
FOL4,NA,NA
HEA5,NA,NA
SMAR1,NA,NA
MOH2,NA,NA
BS4,NA,NA
HH4,NA,NA
ROV6,NA,NA
OJAI6,NA,NA
LYN1,NA,NA
CAS7,NA,NA
CTW7,NA,NA
COT4,NA,NA
CR93,NA,NA
BS1,NA,NA
RED4,NA,NA
CAS9,NA,NA
HAM6,NA,NA
CD161,NA,NA
CR126,NA,NA
MAD17,NA,NA
MF31,NA,NA
PO6,NA,NA
PSK2,NA,NA
GRV1,NA,NA
OJAI4,NA,NA
ISL9,NA,NA
FT8,NA,NA
MAD39,NA,NA
BS5,NA,NA
MAD42,NA,NA
RED7,NA,NA
CVB3,NA,NA
MC7v,NA,NA
CR174,NA,NA
MAD24,NA,NA
LYN6,NA,NA
MARC,NA,NA
JAS5,NA,NA
ALH7,NA,NA
NAP4,NA,NA
MAD3,NA,NA
ALH4,NA,NA
CRE6,NA,NA
BLU3,NA,NA
PO1,NA,NA
UCD3,NA,NA
SON5,NA,NA
MAD5,NA,NA
MAD34,NA,NA
HAM21,NA,NA
CR97,NA,NA
CR127,NA,NA
FOL3,NA,NA
CHI4,NA,NA
CR154,NA,NA
MC13,NA,NA
DIA5,NA,NA
PEN10,NA,NA
RDD6,NA,NA
SUN7,NA,NA
MAD16,NA,NA
CR157,NA,NA
CR64,NA,NA
SUN3,NA,NA
CR125,NA,NA
NAP1,NA,NA
BLU6,NA,NA
BLU5,NA,NA
MARB,NA,NA
SUN8,NA,NA
HH1,NA,NA
SIL1,NA,NA
DUN7,NA,NA
SMAR4,NA,NA
