Buffer size (kilometers),"Geographic--""Total Buffer"" Approach",Geographic--SDM Approach,Ecological
0.5,0.72609,651.1091,0.28141
1.0,0.64877,187.7605,0.25053
2.0,0.57411,55.29529,0.25112
3.0,0.53252,27.70491,0.24106
4.0,0.50345,16.81305,0.24061
5.0,0.48096,12.14115,0.21037
10.0,0.42527,3.35676,0.18229
15.0,0.38991,1.44147,0.15676
20.0,0.351,0.75619,0.14569
25.0,0.30974,0.46747,0.12363
30.0,0.26921,0.31702,0.10298
35.0,0.23305,0.23814,0.08095
40.0,0.20251,0.19027,0.07179
45.0,0.17717,0.15398,0.06165
50.0,0.15587,0.12629,0.05521
55.0,0.13758,0.10468,0.04735
60.0,0.12161,0.0876,0.04134
65.0,0.10755,0.07454,0.03864
70.0,0.09561,0.06415,0.03386
75.0,0.08547,0.05619,0.0366
80.0,0.07688,0.0497,0.03578
85.0,0.06957,0.04425,0.02961
90.0,0.0633,0.03986,0.03037
95.0,0.0579,0.03637,0.02859
100.0,0.05324,0.03343,0.03016
110.0,0.04562,0.02938,0.02465
120.0,0.03968,0.02793,0.02327
130.0,0.03525,0.02846,0.02267
140.0,0.03204,0.02975,0.02338
150.0,0.02975,0.03178,0.02533
160.0,0.02808,0.03411,0.02503
170.0,0.02685,0.0363,0.02525
180.0,0.02594,0.03816,0.0256
190.0,0.02526,0.03976,0.0252
200.0,0.02472,0.04111,0.02807
210.0,0.02425,0.04221,0.02788
220.0,0.02387,0.04308,0.02723
230.0,0.02359,0.04385,0.02913
240.0,0.0234,0.04461,0.02992
250.0,0.02331,0.04538,0.03022
500.0,0.02872,0.05131,0.0391
,,,
Minimum NRMSE Value,0.02331,0.02793,0.02267
Optimal Buffer Size (km),250.0,120.0,130.0
