"sampleID","decimalLatitude","decimalLongitude"
"014_1",36.2548,-81.45523
"014_2",36.2548,-81.45523
"014_3",36.2548,-81.45523
"018_1",36.28366,-81.37312
"021_3",36.30459,-81.36575
"021_4",36.30459,-81.36575
"021_5",36.30459,-81.36575
"023_1",36.37637,-81.32193
"023_10",36.37637,-81.32193
"023_11",36.37637,-81.32193
"023_12",36.37637,-81.32193
"023_13",36.37637,-81.32193
"023_5",36.37637,-81.32193
"023_6",36.37637,-81.32193
"023_8",36.37637,-81.32193
"026_1",36.36893,-81.30058
"026_10",36.36893,-81.30058
"026_11",36.36893,-81.30058
"026_13",36.36893,-81.30058
"026_14",36.36893,-81.30058
"026_6",36.36893,-81.30058
"026_7",36.36893,-81.30058
"026_8",36.36893,-81.30058
"026_9",36.36893,-81.30058
"027_1",36.3695,-81.28898
"027_2",36.3695,-81.28898
"027_3",36.3695,-81.28898
"027_4",36.3695,-81.28898
"027_5",36.3695,-81.28898
"028_10",36.38859,-81.26196
"028_11",36.38859,-81.26196
"028_4",36.38859,-81.26196
"028_5",36.38859,-81.26196
"028_6",36.38859,-81.26196
"028_7",36.38859,-81.26196
"028_8",36.38859,-81.26196
"029_3",36.38807,-81.25607
"029_4",36.38807,-81.25607
"029_5",36.38807,-81.25607
"030_1",36.39142,-81.25607
"030_2",36.39142,-81.25607
"030_3",36.39142,-81.25607
"030_4",36.39142,-81.25607
"030_5",36.39142,-81.25607
"031_2",36.48546,-81.14227
"032_2",36.64099,-80.99387
"034_1",36.70895,-80.44406
"034_2",36.70895,-80.44406
"034_3",36.70895,-80.44406
"034_4",36.70895,-80.44406
"035_2",36.72655,-80.41307
"035_3",36.72655,-80.41307
"035_4",36.72655,-80.41307
"035_6",36.72655,-80.41307
"035_8",36.72655,-80.41307
"035_9",36.72655,-80.41307
"037_10",36.76566,-80.40595
"037_11",36.76566,-80.40595
"037_6",36.76566,-80.40595
"037_7",36.76566,-80.40595
"037_8",36.76566,-80.40595
"037_9",36.76566,-80.40595
"038_1",36.7793,-80.39888
"038_10",36.7793,-80.39888
"038_11",36.7793,-80.39888
"038_12",36.7793,-80.39888
"038_13",36.7793,-80.39888
"038_14",36.7793,-80.39888
"038_15",36.7793,-80.39888
"038_16",36.7793,-80.39888
"038_9",36.7793,-80.39888
"039_1",36.7793,-80.39888
"039_3",36.7793,-80.39888
"040_1",36.78126,-80.39236
"040_2",36.78126,-80.39236
"040_3",36.78126,-80.39236
"042_1",36.7951,-80.38786
"042_6",36.7951,-80.38786
"044_2",36.86941,-80.28395
"044_6",36.86941,-80.28395
"044_8",36.86941,-80.28395
"044_9",36.86941,-80.28395
"045_1",36.89088,-80.26234
"045_2",36.89088,-80.26234
"045_3",36.89088,-80.26234
"045_4",36.89088,-80.26234
"045_5",36.89088,-80.26234
"046_1",36.89088,-80.26234
"046_2",36.89088,-80.26234
"046_3",36.89088,-80.26234
"046_4",36.89088,-80.26234
"046_5",36.89088,-80.26234
"048_1",36.96293,-80.16109
"048_2",36.96293,-80.16109
"048_3",36.96293,-80.16109
"049_2",36.96293,-80.16109
"050_10",37.02032,-80.11743
"050_11",37.02032,-80.11743
"050_4",37.02032,-80.11743
"050_6",37.02032,-80.11743
"050_8",37.02032,-80.11743
"054_1",38.09481,-78.34252
"054_2",38.09481,-78.34252
"054_3",38.09481,-78.34252
"058_2",39.7977,-76.47601
"058_3",39.7977,-76.47601
"058_4",39.7977,-76.47601
"071_1",41.4458,-73.75545
"078_1",41.65871,-73.3188
"078_2",41.65871,-73.3188
"078_4",41.65871,-73.3188
"079_1",41.6075,-73.28672
"079_2",41.6075,-73.28672
"079_3",41.6075,-73.28672
"079_4",41.6075,-73.28672
"079_5",41.6075,-73.28672
"080_1",41.59968,-73.27788
"080_2",41.59968,-73.27788
"080_3",41.59968,-73.27788
"081_1",41.5989,-73.27393
"081_3",41.5989,-73.27393
"083_1",41.45561,-72.98817
"083_2",41.45561,-72.98817
"083_3",41.45561,-72.98817
"087_1",41.43505,-72.21359
"087_2",41.43505,-72.21359
"087_3",41.43505,-72.21359
"087_5",41.43505,-72.21359
"087_6",41.43505,-72.21359
"094_1",41.68021,-71.85046
"094_2",41.68021,-71.85046
"094_3",41.68021,-71.85046
"094_4",41.68021,-71.85046
"094_5",41.68021,-71.85046
