id,area,area_removed
109_2,96.17036733569424,3127100.052126
106_2,92.34096379514243,3126912.960313
105_4,88.51161546735209,3126867.876138
104_2,84.68228068843227,3126856.81276
103_2,80.85302740215802,3126790.269643
102_8,77.02378966230246,3126777.575177
099_1,73.19501108719417,3126402.642577
098_3,69.36629411950224,3126352.336823
095_2,65.53770191715495,3126250.459232
079_4,61.70920492293622,3126172.723885
052_7,57.88473561424532,3122883.895908
048_3,54.06031573174482,3122843.536758
046_1,50.23595784850272,3122792.911044
044_6,46.41161843131646,3122777.832527
040_2,42.58735476380991,3122715.960284
037_11,38.763104521177134,3122705.016732
035_2,34.93888786869265,3122677.588594
034_4,31.114686327664575,3122665.249257
031_2,27.29067642530093,3122508.766033
030_2,23.466747003281778,3122443.035611
023_6,19.64283050790451,3122432.52269
027_5,15.818919826939714,3122427.724336
094_5,12.122025336826793,3018712.228061
032_2,8.859474115218868,2664047.701033
081_3,6.30751194495755,2083813.706211
026_14,4.156113922667201,1756731.639136
028_10,2.369623394482841,1458765.135866
038_1,0.6588603420197838,1396929.601208
029_5,0.32376609998580175,273622.384596
112_5,0,264372.350272
026_10,NA,NA
030_5,NA,NA
044_9,NA,NA
094_1,NA,NA
046_3,NA,NA
102_11,NA,NA
114_2,NA,NA
026_11,NA,NA
046_5,NA,NA
095_1,NA,NA
038_10,NA,NA
095_3,NA,NA
098_5,NA,NA
034_3,NA,NA
034_1,NA,NA
108_2,NA,NA
087_2,NA,NA
027_1,NA,NA
081_1,NA,NA
098_1,NA,NA
110_2,NA,NA
045_3,NA,NA
023_13,NA,NA
048_1,NA,NA
087_1,NA,NA
049_2,NA,NA
102_12,NA,NA
099_5,NA,NA
096_2,NA,NA
028_6,NA,NA
035_4,NA,NA
105_1,NA,NA
023_1,NA,NA
109_3,NA,NA
106_5,NA,NA
111_5,NA,NA
028_7,NA,NA
027_3,NA,NA
108_10,NA,NA
108_5,NA,NA
112_3,NA,NA
030_3,NA,NA
034_2,NA,NA
096_3,NA,NA
108_9,NA,NA
046_4,NA,NA
028_8,NA,NA
099_4,NA,NA
087_5,NA,NA
038_14,NA,NA
079_1,NA,NA
096_5,NA,NA
052_2,NA,NA
114_1,NA,NA
108_3,NA,NA
110_5,NA,NA
098_4,NA,NA
045_5,NA,NA
039_3,NA,NA
102_9,NA,NA
112_2,NA,NA
083_3,NA,NA
103_3,NA,NA
109_4,NA,NA
035_3,NA,NA
087_6,NA,NA
026_8,NA,NA
029_4,NA,NA
052_4,NA,NA
048_2,NA,NA
026_6,NA,NA
030_4,NA,NA
095_4,NA,NA
027_4,NA,NA
108_4,NA,NA
044_8,NA,NA
045_2,NA,NA
096_1,NA,NA
029_3,NA,NA
079_5,NA,NA
108_6,NA,NA
030_1,NA,NA
027_2,NA,NA
114_3,NA,NA
038_12,NA,NA
044_2,NA,NA
028_11,NA,NA
102_3,NA,NA
038_11,NA,NA
045_1,NA,NA
023_12,NA,NA
026_7,NA,NA
096_4,NA,NA
083_1,NA,NA
103_1,NA,NA
052_5,NA,NA
102_4,NA,NA
094_4,NA,NA
094_2,NA,NA
028_5,NA,NA
104_4,NA,NA
105_2,NA,NA
083_2,NA,NA
038_13,NA,NA
026_1,NA,NA
103_4,NA,NA
045_4,NA,NA
046_2,NA,NA
038_15,NA,NA
038_16,NA,NA
094_3,NA,NA
037_8,NA,NA
112_1,NA,NA
106_4,NA,NA
038_9,NA,NA
071_1,NA,NA
114_5,NA,NA
087_3,NA,NA
035_9,NA,NA
105_5,NA,NA
110_3,NA,NA
104_5,NA,NA
110_4,NA,NA
114_4,NA,NA
106_1,NA,NA
039_1,NA,NA
112_4,NA,NA
