"Sample","decimalLatitude","decimalLongitude"
"51C0006",37.3668,-115.4361
"51C0007",37.367,-115.4321
"51C0009",37.369,-115.4325
"51C0010",37.3687,-115.4328
"51C0052",37.3883,-115.44
"51C0053",37.387,-115.4421
"51C0054",37.3863,-115.4416
"51C0055",37.3833,-115.44
"51C0056",37.3845,-115.4437
"51C0057",37.385,-115.4436
"51C0061",37.4005,-115.4268
"51C0063",37.4023,-115.4254
"51C0064",37.4023,-115.4223
"51C0065",37.4025,-115.4146
"51C0068",37.4008,-115.4278
"51C0001",37.3693,-115.439
"51C0005",37.3668,-115.4362
"51C0008",37.3676,-115.432
"51C0012",37.3674,-115.4425
"51C0050",37.3969,-115.4454
"51C0051",37.3893,-115.44
"51C0059",37.4008,-115.4404
"51C0060",37.4,-115.4299
"51C0062",37.4008,-115.4254
"51C0066",37.4008,-115.4239
"HS0101",37.4145,-115.3833
"HS0102",37.4144,-115.3833
"HS0103",37.4145,-115.3833
"HS0106",37.4143,-115.3834
"HS0108",37.4144,-115.3832
"HS0109",37.4146,-115.3837
"HS0110",37.4142,-115.3833
"HS0112",37.4142,-115.3831
"HS0114",37.4142,-115.3831
"HS0154",37.414,-115.3838
"HS0174",37.414,-115.3869
"HS0176",37.4139,-115.387
"HS0178",37.4139,-115.3869
"HS0180",37.4138,-115.3869
"HS0182",37.4138,-115.387
"HS0184",37.4137,-115.3869
"HS0186",37.4136,-115.387
"HS0188",37.4138,-115.3873
"HS0192",37.4138,-115.3872
"HS0194",37.4138,-115.3876
"HS0196",37.4139,-115.3874
"HS0198",37.414,-115.3872
"HS0202",37.414,-115.3874
"HS0206",37.4141,-115.3874
"HS0208",37.4142,-115.3874
"HS0210",37.414,-115.3875
"HS0212",37.414,-115.3876
"HS0251",37.4138,-115.3878
"HS0252",37.4139,-115.3878
"HS0253",37.4139,-115.388
"HS0254",37.4141,-115.3877
"HS0256",37.4141,-115.3877
"HS0257",37.414,-115.3889
"HS0258",37.4141,-115.3886
"HS0259",37.4139,-115.389
"HS0260",37.4143,-115.3887
"HS0304",37.4135,-115.3881
"HS0306",37.4131,-115.3884
"PV0003",37.4592,-115.3373
"PV0002",37.4618,-115.3381
"PV0004",37.4602,-115.3362
"PV0007",37.4602,-115.3362
"PV0008",37.4602,-115.3362
"PV0010",37.4602,-115.3362
"PV0012",37.4602,-115.3362
"TV0480",37.469,-115.4965
"TV0658",37.4679,-115.4934
"TV0893",37.4685,-115.494
"TV0895",37.4688,-115.4943
"TV0899",37.4702,-115.4963
"TV1134",37.4755,-115.5094
"TV1161",37.4678,-115.4961
"TV1165",37.4679,-115.4955
"TV1179",37.469,-115.4945
"TV1183",37.469,-115.494
"TV1185",37.4694,-115.4951
"TV1189",37.4696,-115.4936
"TV1219",37.4691,-115.4975
"TV1221",37.4688,-115.497
"TV1229",37.4702,-115.4948
"TV1283",37.472,-115.4952
