id,area,area_removed
TV1416,96.80297481036327,3128689.294781
TV1423,93.60594859888477,3128689.294732
51C0050,90.40892340924805,3128689.29473
TV2769,87.21189821961131,3128689.294713
TV2011,84.0148720081328,3128689.294713
51C0008,80.81784681849608,3128689.294702
MR0006,77.62082162885936,3128689.294699
TV1119,74.42379541738083,3128689.294695
MB0003,71.22677022774411,3128689.294694
TVS0207,68.0297450381074,3128689.294685
TVS102a,64.83271882662888,3128689.294673
TV2305,61.63569363699215,3128689.29466
TV1517,58.43866844735543,3128689.294638
MR0040,55.24164223587691,3128689.294567
TV1501,52.12916832388118,3045945.552784
51C0063,49.23564751922817,2831672.293325
TV2267,46.36726913198739,2807066.752028
TV2079,43.499330136719266,2806636.868213
51C0055,40.704114600293245,2735467.49351
MR0009,38.310848709404105,2342110.523271
HS0306,35.926684363399765,2333237.431661
TV1323,33.754401979503754,2125850.250931
MR0031,31.592426913812865,2115762.218441
TV2512,29.50773067769457,2040136.624021
TV1520,27.460408305297147,2003560.947767
TVS0202,25.498415853989925,1920054.298447
TV2260,23.656462224087516,1802584.568119
PV0002,21.89222988125575,1726516.704665
51C0012,20.184612683180088,1671117.368394
MB0025,18.52550844625307,1623627.897728
TV2043,16.867787783119024,1622287.319866
TV1151,15.479076169589648,1359027.914047
MB0018,14.249465323834388,1203328.171157
MR0001,13.063551498839079,1160564.727698
TV1095,12.021784808762359,1019499.069432
TVS103a,11.000304743879083,999646.404341
TV0571,10.080995574740385,899658.209443
TV2505,9.17969841095528,882033.928508
TVS0203,8.462218324327212,702144.701439
MB0017,7.753674244212852,693387.471388
TV2811,7.075953000059563,663235.536756
MR0026,6.459250016965129,603521.075261
TV1118,5.891651641419732,555465.994789
TV0977,5.351005365108826,529089.242733
TV0516,4.84815599502269,492101.225934
TVS0206,4.389231516417212,449115.591377
51C0056,3.9458318802317214,433921.635553
TV2274,3.5331937694994875,403818.191307
TV1410,3.1339836818200455,390676.651254
TV1507,2.767970168595824,358190.457029
HS0112,2.4471516962057795,313961.250796
51C0051,2.134399642960301,306066.874612
51C0066,1.8680095738810372,260696.333789
TV2051,1.618708787012783,243971.565349
TV2767,1.4864170606215923,129464.647216
TV2255,1.3730498443086074,110943.578447
MR0055,1.261523986913599,109142.343474
51C0009,1.1501575368389039,108986.263766
MR0064,1.0485547851333912,99431.006583
51C0007,0.9557643970841664,90806.191423
TV2022,0.864035702661899,89768.352449
TV1304,0.7731970324447135,88897.322306
MB0020,0.7017754000518298,69894.808734
TV1134,0.6305612015437128,69692.312495
TV1515,0.5695868796821238,59670.87194
TV2780,0.5122666640861755,56094.852137
TV2279,0.4573212088261749,53770.339518
TV1417,0.40647742653884805,49757.027969
MR0028,0.3567719760132448,48643.539041000004
51C0005,0.3095547102630428,46207.466871
51C0060,0.27065830226482956,38065.254164
TV2801,0.24549033880769067,24630.518489
51C0064,0.2220043269482152,22983.797855
MB0022,0.1993531598367902,22166.457259
TV2077,0.17720167336403922,21677.929216
TVS101a,0.15579306587761949,20951.457447
TV2294,0.13929338638340832,16146.791909
TV1409,0.1232003999243551,15749.592255
TV1506,0.10804342055124339,14832.595873
TV2086,0.09317664424844542,14548.721115
TV1504,0.08251270325621231,10436.686273
TV1255,0.07219210110773067,10099.222417
TV1355,0.06292297416823789,9071.598436
TV2793,0.05464912113890563,8096.559041
TV2013,0.047706727970907185,6794.300961
MB0005,0.04107088734197255,6494.231135
51C0057,0.034692550845851516,6241.764033
51C0052,0.029391235603641343,5187.930122
TV2789,0.024443477623151424,4842.298579
MR0004,0.02010780287899226,4242.904423
MB0009,0.015957081500068256,4061.842202
HS0154,0.012490994125053428,3392.0002
TV0574,0.009512325287150063,2914.521781
51C0061,0.00665934299026286,2792.584415
TV1421,0.004995784544943244,1627.788749
TV2768,0.0038462125234539515,1125.37513
TV2023,0.0029510791093876228,875.453513
51C0065,0.0021571080332123517,777.446989
TV2002,0.001435687724615516,706.059371
TV2070,9.431599785196593e-4,481.802466
51C0001,6.09017710940105e-4,326.828735
TV1306,3.137054316419668e-4,288.84789
51C0006,2.758972851574301e-5,279.727486
HS0260,1.2262101562552448e-5,15.441556
TV2084,6.131050781276224e-6,6.326874
PV0003,0,5.653368
MR0053,NA,NA
MB0016,NA,NA
TV1516,NA,NA
HS0110,NA,NA
51C0068,NA,NA
TV2040,NA,NA
TV2297,NA,NA
PV0008,NA,NA
TV1344,NA,NA
MB0019,NA,NA
TV1331,NA,NA
TV2001,NA,NA
MB0007,NA,NA
TV2763,NA,NA
TV1185,NA,NA
MR0054,NA,NA
TV1289,NA,NA
HS0103,NA,NA
TV2021,NA,NA
TV0537,NA,NA
TV2778,NA,NA
HS0196,NA,NA
TV0532,NA,NA
TV1343,NA,NA
TVS0210,NA,NA
HS0102,NA,NA
TV1147,NA,NA
TV1258,NA,NA
HS0186,NA,NA
MB0123,NA,NA
TV0899,NA,NA
TV1189,NA,NA
HS0258,NA,NA
TV1219,NA,NA
MB0112,NA,NA
HS0106,NA,NA
TV1370,NA,NA
MB0122,NA,NA
TV1521,NA,NA
TV0586,NA,NA
MR0042,NA,NA
TV0545,NA,NA
MB0120,NA,NA
TV1243,NA,NA
TV2265,NA,NA
TV2038,NA,NA
TV2029,NA,NA
TV2779,NA,NA
PV0004,NA,NA
TV0976,NA,NA
HS0253,NA,NA
TV1229,NA,NA
MR0007,NA,NA
TV1320,NA,NA
TVS0205,NA,NA
