id,area
MB0121,0
TV1323,NA
TV2070,NA
51C0050,NA
TV0400,NA
TV1265,NA
TV1509,NA
MR0009,NA
MB0014,NA
PV0002,NA
TV1261,NA
TV0516,NA
51C0010,NA
TV1147,NA
HS0176,NA
TV1141,NA
TV1221,NA
TV2305,NA
TV1501,NA
TV1513,NA
MR0040,NA
TV2054,NA
MR0022,NA
TV2029,NA
TV2768,NA
TV2767,NA
TV2265,NA
TV0537,NA
MB0011,NA
TV2256,NA
TV1409,NA
TV2028,NA
MB0003,NA
MB0021,NA
MB0128,NA
TV0899,NA
MB0022,NA
51C0060,NA
TV1303,NA
TV1348,NA
51C0066,NA
TVS0208,NA
TV0907,NA
TV0576,NA
MR0043,NA
MR0028,NA
HS0188,NA
MB0023,NA
TV1343,NA
TV1507,NA
TV1178,NA
TV2079,NA
TVS0203,NA
TV1370,NA
TV1502,NA
51C0057,NA
TV2780,NA
TV2789,NA
TV1304,NA
TV1137,NA
HS0101,NA
TVS0211,NA
MR0006,NA
MR0001,NA
51C0009,NA
TV1119,NA
TV1405,NA
TV2038,NA
TV1193,NA
TV1219,NA
TV2292,NA
MB0025,NA
TV1263,NA
TV0571,NA
HS0194,NA
TV1136,NA
MB0019,NA
TV1180,NA
MB0008,NA
51C0068,NA
TVS101a,NA
TV1431,NA
TV2279,NA
TV1519,NA
HS0253,NA
TV1344,NA
MB0125,NA
TV2048,NA
MB0123,NA
TV2294,NA
TV2011,NA
TV1194,NA
HS0174,NA
MR0016,NA
TV1289,NA
MR0055,NA
TVS0209,NA
TV0952,NA
HS0112,NA
TV1249,NA
51C0061,NA
TV2754,NA
TV1504,NA
TV0720,NA
MR0054,NA
HS0259,NA
TV0976,NA
TV1327,NA
TV2064,NA
TV2002,NA
TV1297,NA
HS0251,NA
TV2263,NA
MR0062,NA
MB0001,NA
TV2013,NA
TV1162,NA
TV1257,NA
TVS103a,NA
TV2276,NA
HS0114,NA
TV0893,NA
TV2001,NA
TV0480,NA
TVS0202,NA
TV1511A,NA
TVS0207,NA
TV1340,NA
TV1412,NA
TVS0206,NA
TV2047,NA
TV2811,NA
TV1186,NA
51C0005,NA
TV1183,NA
TV1320,NA
51C0053,NA
MR0064,NA
TV1267,NA
TV0532,NA
TV1516,NA
TV2505,NA
TV0575,NA
TV1174,NA
TV1244,NA
HS0260,NA
TV2801,NA
TV1132,NA
TV2512,NA
HS0110,NA
MB0018,NA
HS0306,NA
TV2267,NA
TV1246,NA
TV2086,NA
TV1329,NA
TV2043,NA
TV1184,NA
HS0304,NA
TV2269,NA
MB0024,NA
TVS0204,NA
HS0186,NA
TV2007,NA
TV0574,NA
MR0002,NA
MB0017,NA
TV1506,NA
TV2287,NA
TV1410,NA
TV1218,NA
TV1118,NA
MB0016,NA
MB0122,NA
TV1514,NA
MB0120,NA
TV1416,NA
TV1341,NA
TV1500,NA
HS0184,NA
51C0055,NA
TV1258,NA
TV2040,NA
TV1239,NA
TV0582,NA
51C0001,NA
TV1354,NA
TV0895,NA
TV2260,NA
HS0102,NA
HS0182,NA
MR0031,NA
TV2274,NA
HS0154,NA
TV1331,NA
TV1271,NA
HS0254,NA
TV1189,NA
HS0103,NA
MB0013,NA
MR0004,NA
TV2266,NA
TV2779,NA
TV0977,NA
TV1095,NA
TV1185,NA
HS0206,NA
MR0042,NA
TV2084,NA
HS0258,NA
TV1355,NA
TV2025,NA
TV1521,NA
TV2251,NA
TV2030,NA
TV1306,NA
TV1243,NA
TV1196,NA
MB0004,NA
TV0369,NA
51C0012,NA
TV2763,NA
51C0064,NA
HS0256,NA
HS0252,NA
TV0610,NA
TV0600,NA
HS0108,NA
TV1134,NA
TV2046,NA
TV2297,NA
TV1520,NA
MR0050,NA
TV1417,NA
51C0054,NA
HS0192,NA
TV1225,NA
TV0399,NA
51C0063,NA
MB0006,NA
TV0658,NA
TV2012,NA
MR0053,NA
MB0007,NA
TV1251,NA
HS0202,NA
HS0180,NA
PV0004,NA
HS0198,NA
TV1333,NA
MB0020,NA
TV1227,NA
TVS0210,NA
TV1283,NA
MB0010,NA
TV1179,NA
PV0008,NA
HS0109,NA
TV0586,NA
MR0058,NA
MB0124,NA
TV2087,NA
TV1230,NA
TV1255,NA
TV2049,NA
HS0257,NA
MR0026,NA
MR0007,NA
HS0178,NA
51C0007,NA
TV0545,NA
TV1505,NA
HS0208,NA
TV1515,NA
TVS102a,NA
HS0212,NA
TV2041,NA
HS0106,NA
HS0196,NA
51C0062,NA
MB0009,NA
TV2023,NA
TV2280,NA
TV1402,NA
51C0052,NA
51C0006,NA
TV1517,NA
TV2051,NA
TV2264,NA
HS0210,NA
PV0010,NA
TV1172,NA
MB0012,NA
51C0051,NA
51C0056,NA
PV0007,NA
TV2255,NA
TV2077,NA
MB0112,NA
TV1229,NA
TV2793,NA
51C0059,NA
TV2778,NA
TV0795,NA
MB0005,NA
TV1421,NA
TV1318,NA
TV1165,NA
TV1151,NA
TV2769,NA
PV0012,NA
TV1423,NA
TV2021,NA
51C0008,NA
51C0065,NA
PV0003,NA
TVS0205,NA
TV1161,NA
TV2022,NA
