Subset1,Subset2,Subset3,Subset4,Subset5,Subset6,Subset7
16_PTR_5_N2,16_CTA_27_N1,16_PTR_5_N2,16_OSO_4_N1,02_V142998_3_N1,16_PTR_5_N2,16_PEW_2_D
16_VCC_4_N1,16_PTR_5_N2,16_VCC_4_N1,ALI8,16_PTR_5_N2,ALI8,16_VCC_4_N1
ALI5,ALI5,ALI5,BEL3,ALI5,BEL3,ALI5
BEL3,BEL3,BEL3,BOG10,BEL3,BOG10,BEL3
BOG10,BOG10,BOG10,BSR21,BOG10,BSR21,BOG10
BSR21,BSR21,BSR21,CAT11,BSR21,CAT11,BSR21
CAT11,CAC2,CAT11,CDR5,CAC2,CDR5,CAT11
CLC4,CAT11,CLC4,FHS1,CAT11,FHS1,CLC4
FHS2,CLC4,HAM6,HAM6,CDR5,HAM6,FHS2
HAM6,FHS1,ICS24,HOC17,FHS1,ICS24,HAM6
ICS24,HAM6,IHR8,ICS24,HAM6,IHR8,ICS24
KIC2,ICS24,KAP1,IHR8,ICS24,KAP1,KIC3
KLM23,KIC2,KIC3,KAP1,KIC2,KIC3,LCC3
MCB4,LCC3,LCC3,KIC3,LCC3,LCC3,MCB4
OPB29,MCB3,MCB4,LCC3,MCB4,MED1,OPB29
ORO24,ORO24,ORO24,MED1,ORO24,ORO24,ORO24
OSW13,SKZ27,OSW13,ORO24,SKZ27,OSW13,OSW13
SKZ27,STB18,SKZ27,OSW13,STB18,SKZ27,SKZ27
STB18,SWB38,STB18,SKZ27,SWB38,STB18,STB18
SWC17,SWC18,SWB38,SWB38,SWC18,SWB38,SWC17
TRR2,TRR2,SWC17,SWC17,TRR2,SWC17,TRR2
WKY1,WKY1,WKY1,WKY1,WKY1,WKY1,WKY1
